"","Word","AmbiguityType","Length","Meanings","Senses","fSense","famfRes","eDom_biggest","colN","nLet","nSyll","nMeanings","nSenses","OLD","Imageability","ZipfFreq_Subtlex","OLD20","nsyl","coltN","nMeanings_WMD","nSenses_WMD"
"126","fold","Hybrid",4,"Many","Many",2,0.762050264550265,88,14,4,1,2,20,1.1,179,4.04,1.35,1,11,2,20
"127","ford","Unambiguous",4,"One","Few",1,-1.31552604802605,NA,NA,NA,NA,NA,NA,NA,NA,4.21,1.25,1,12,1,2
"128","forge","Homonymy",5,"Many","Few",1,-1.80380850630851,71,5,5,1,2,9,1.4,179,3.57,1.5,1,4,2,9
"129","foul","Polysemy",4,"One","Many",2,-0.175714285714285,NA,NA,NA,NA,NA,NA,NA,NA,4.03,1.6,1,6,1,21
"130","frame","Unambiguous",5,"One","Few",1,0.0217755392755388,NA,NA,NA,NA,NA,NA,NA,NA,4.76,1.8,1,1,1,9
"131","freak","Homonymy",5,"Many","Few",1,-0.0154487179487184,97,4,5,1,2,6,1.7,179,4.06,1.75,1,3,2,6
"132","funk","Homonymy",4,"Many","Few",1,-1.06306776556777,70,13,4,1,2,6,1.15,179,3.18,1.3,1,10,2,6
"133","fuse","Unambiguous",4,"One","Few",1,-1.3710816035816,NA,NA,NA,NA,NA,NA,NA,NA,3.66,1.65,1,4,1,5
"134","gang","Homonymy",4,"Many","Few",1,0.41312271062271,95,17,4,1,2,5,1,107,4.39,1.4,1,10,2,5
"135","gas","Polysemy",3,"One","Many",2,0.752857142857144,NA,NA,NA,NA,NA,NA,NA,NA,4.77,1.05,1,10,1,14
"136","gate","Unambiguous",4,"One","Few",1,0.700346967846967,NA,NA,NA,NA,NA,NA,NA,NA,4.34,1,1,16,1,3
"137","gloss","Homonymy",5,"Many","Few",1,-0.479734432234433,79,5,5,1,2,8,1.6,179,3.38,1.7,1,4,2,8
"138","gold","Polysemy",4,"One","Many",2,1.00285714285714,NA,NA,NA,NA,NA,NA,NA,NA,5.1,1.3,1,12,1,11
"139","goose","Unambiguous",5,"One","Few",1,0.378918396418396,NA,NA,NA,NA,NA,NA,NA,NA,4.03,1.7,1,4,1,6
"140","grave","Hybrid",5,"Many","Many",2,0.29776455026455,56,9,5,1,4,12,1.15,172,4.2,1.25,1,9,4,12
"141","grind","Polysemy",5,"One","Many",2,-0.461428571428571,NA,NA,NA,NA,NA,NA,NA,NA,3.63,1.7,1,2,1,12
"142","grip","Polysemy",4,"One","Many",2,-0.282857142857142,NA,NA,NA,NA,NA,NA,NA,NA,4.14,1.55,1,6,1,14
"143","gum","Hybrid",3,"Many","Many",2,1.33347883597884,65,23,3,1,2,12,1,179,3.72,1.3,1,11,2,12
"144","gut","Polysemy",3,"One","Many",2,-0.568571428571429,NA,NA,NA,NA,NA,NA,NA,NA,3.95,1.05,1,15,1,11
"145","hack","Hybrid",4,"Many","Many",2,-0.809378306878307,69,20,4,1,2,19,1,179,3.5,1.05,1,16,2,19
"146","hail","Hybrid",4,"Many","Many",2,-0.416521164021164,64,17,4,1,2,12,1,68,3.67,1.2,1,14,2,12
"147","halt","Homonymy",4,"Many","Few",1,-0.765448717948718,81,15,4,1,2,7,1,32,3.94,1.35,1,10,2,7
"148","hatch","Homonymy",5,"Many","Few",1,-1.051163003663,69,10,5,1,3,9,1.4,179,3.85,1.45,1,9,3,9
"149","hawk","Homonymy",4,"Many","Few",1,0.198836996336996,75,5,4,1,3,9,1.45,153,3.66,1.65,1,5,3,9
"150","heel","Hybrid",4,"Many","Many",2,0.0120502645502647,88,14,4,1,2,11,1.05,158,3.81,1.5,1,7,2,11
"151","hitch","Hybrid",5,"Many","Many",2,-1.27366402116402,69,14,5,1,2,11,1.25,179,3.47,1.6,1,7,2,11
