"","Word","SemD_P1_U","SemD_P1_W","SemD_P2_U","SemD_P2_W","SemD_H13","ContextCount_P1_U","ContextCount_P1_W","ContextCount_P2_U","ContextCount_P2_W","ContextCount_H13","Freq"
"6762","comedian",1.17106431100522,1.40469144041586,1.14073578566807,1.57905643305748,1.338,252,252,327,327,262,3.52
"6763","comedians",1.10306120374882,1.39382451200204,NA,NA,1.213,120,120,NA,NA,127,3.23
"6764","comedies",0.830451627360103,1.35021188332585,NA,NA,0.988,103,103,NA,NA,104,3.09
"6765","comedy",0.989364891457236,1.35452385811841,1.01097958941888,1.54259047625906,1.126,905,905,870,870,926,4.16
"6766","comer",1.28189667263813,1.32665537596516,1.46709917424023,1.92213049821951,1.464,186,186,288,288,188,3.32
"6767","comers",1.80403421377045,2.04388928969574,NA,NA,2.035,130,130,NA,NA,132,3
"6768","comes",1.89479931109376,2.18726951032142,NA,NA,2.089,10118,10118,NA,NA,10317,5.2
"6769","comet",1.56251181658612,2.13791570064937,1.47311577409877,2.36334240652654,1.645,155,155,180,180,161,3.42
"6770","comets",0.990397582619657,1.83097204227521,NA,NA,0.996,53,53,NA,NA,55,3
"6771","comfort",1.73213051245012,1.87438161352071,1.65965041941119,2.15759650755035,1.862,2552,2552,2852,2852,2595,4.53
"6772","comfortable",1.6937349302463,1.91651232505806,1.65941236338332,2.20464571449767,1.823,2982,2982,2761,2761,3018,4.6
"6773","comfortably",1.75135925589254,2.00773649836643,1.66731956085784,2.27182932920263,1.92,843,843,821,821,853,3.97
"6774","comforted",1.47448824066718,1.37508461671618,NA,NA,1.577,271,271,NA,NA,276,3.5
"6775","comforting",1.67243846372242,1.67643004168108,1.58439692885478,2.08054956541764,1.78,435,435,376,376,442,3.7
"6776","comforts",1.56626223308586,1.89718664865731,NA,NA,1.7,252,252,NA,NA,255,3.44
"6777","comfy",1.20118052795286,1.51434644897266,1.25280712588911,1.74506836334539,1.381,83,83,85,85,83,3.05
"6778","comic",1.25709677691911,1.53505010909251,1.28071607757244,1.81147932053932,1.419,831,831,877,877,855,4.08
"6779","comical",1.55259947022888,1.55439073674477,1.50260743048879,1.98823381391648,1.731,115,115,113,113,117,3.15
"6780","comically",1.33733366625359,1.44180107639658,1.38573868822086,2.01198633264665,1.504,61,61,60,60,63,2.84
"6781","comics",1.32417970941129,1.58285791564046,NA,NA,1.485,153,153,NA,NA,157,3.36
"6782","comin",0.933446909415797,1.15427287500597,NA,NA,0.84,86,86,NA,NA,86,1.9
"6783","coming",1.82956346647017,1.89752939290436,1.89330211169372,2.5177168843378,2.039,11543,11543,1662,1662,11773,5.31
"6784","comings",1.67876091625578,1.72525956621247,NA,NA,1.836,86,86,NA,NA,86,2.93
"6785","comintern",0.516361054892619,1.14839347901483,0.621484351345022,1.44262095162451,0.525,52,52,41,41,53,3.16
"6786","comm",1.08548482157044,1.84576273284112,1.12737942024811,2.12614833491429,1.116,50,50,81,81,52,2.65
"6787","comma",1.47619165397895,2.39241528651415,1.51192929286855,2.56399370039746,1.385,69,69,125,125,70,3.3
"6788","command",1.69640072702192,2.29632452813864,1.74819910138186,2.60055266034341,1.751,2837,2837,3551,3551,2872,4.62
"6789","commandant",1.24445220279331,1.54344870886345,1.19039294101715,1.91012671361349,1.316,82,82,79,79,84,3.14
"6790","commanded",1.54550032294592,1.90399435642298,NA,NA,1.689,654,654,NA,NA,663,3.88
"6791","commandeer",NA,NA,1.56117417973112,2.10286507740451,NA,NA,NA,88,88,NA,2.41
"6792","commandeered",1.58505268572816,1.96571957457652,NA,NA,1.782,67,67,NA,NA,67,2.87
"6793","commander",1.28384779295701,1.88417527550527,1.31304429150024,2.09850206890769,1.404,1378,1378,1433,1433,1401,4.29
"6794","commanders",1.07479898173636,1.78812362870559,NA,NA,1.214,385,385,NA,NA,391,3.67
"6795","commanding",1.54641742030568,1.98667305298274,1.51204040476271,2.29759174500171,1.643,562,562,458,458,569,3.82
"6796","commandment",1.0682206585316,1.55190197627735,1.13167970770662,1.82506834835486,1.1,63,63,138,138,66,2.97
"6797","commandments",1.08268910918249,1.61409910170367,NA,NA,1.147,93,93,NA,NA,95,3.11
"6798","commando",0.874063660595477,1.48896268235569,1.01665278232795,1.81083998240444,0.864,175,175,199,199,178,3.6
"6799","commandos",0.807333491000208,1.45464632597958,NA,NA,0.795,132,132,NA,NA,133,3.41
"6800","commands",1.62563392415782,2.44197480661175,NA,NA,1.58,681,681,NA,NA,691,3.98
"6801","commas",1.45222655985258,2.13113853224449,NA,NA,1.403,77,77,NA,NA,80,3.23
"6802","comme",1.14683961886919,1.78980789087111,1.21264756488267,2.19683046810659,1.132,50,50,50,50,50,2.84
"6803","commemorate",1.54363270725827,2.0401730316189,1.47806993974815,2.19773239800775,1.673,241,241,500,500,247,3.42
"6804","commemorated",1.30441724609789,1.73872554471036,NA,NA,1.501,134,134,NA,NA,139,3.18
"6805","commemorates",1.24258215672327,1.72572775662224,NA,NA,1.417,69,69,NA,NA,70,2.87
"6806","commemorating",1.47283274197431,1.95219568366865,NA,NA,1.628,101,101,NA,NA,104,3.06
"6807","commemoration",1.35751647618568,1.78748575300121,1.38891351451544,2.11510643442188,1.546,89,89,95,95,90,3.02
"6808","commemorative",1.49384710099117,1.91394961456271,1.48730203132616,2.13752540715262,1.634,163,163,152,152,171,3.28
"6809","commence",1.81895100227821,2.59318402228273,1.83616007145972,2.84319024173991,1.837,363,363,1077,1077,382,3.65
"6810","commenced",1.67778525368645,2.47405387782,NA,NA,1.701,512,512,NA,NA,520,3.82
"6811","commencement",1.55970180997358,2.52364364997696,1.59812297445084,2.74064032711597,1.516,258,258,243,243,265,3.54
