"","Word","SemD_P1_U","SemD_P1_W","SemD_P2_U","SemD_P2_W","SemD_H13","ContextCount_P1_U","ContextCount_P1_W","ContextCount_P2_U","ContextCount_P2_W","ContextCount_H13","Freq"
"6725","colourless",1.6421498619214,1.81773438630027,1.56691578223877,2.24477029476355,1.737,144,144,132,132,148,3.23
"6726","colours",1.46936311242026,2.02766757471008,NA,NA,1.554,2697,2697,NA,NA,2751,4.65
"6727","colt",1.01796799186197,1.3620579024684,1.02184077965776,1.56940761714436,1.035,164,164,190,190,171,3.47
"6728","colts",0.87832420479124,1.2893972125484,NA,NA,1.04,96,96,NA,NA,100,3.07
"6729","columba",1.10485202410483,1.81662772514764,1.02289610500738,1.86157404454182,1.19,41,41,50,50,42,2.85
"6730","columbia",1.53128221741133,2.15056800868097,1.49982222678924,2.38292701603132,1.61,318,318,309,309,331,3.64
"6731","columbus",1.36556980469906,1.85664226927979,1.35241624158447,2.02022589727035,1.5,190,190,192,192,192,3.53
"6732","column",1.75007331377255,2.29228666262617,1.7297666551169,2.53184708846944,1.747,1614,1614,2156,2156,1649,4.45
"6733","columnist",1.39373537994351,1.65198194185658,1.33407486413746,1.85365503628455,1.516,152,152,185,185,157,3.21
"6734","columnists",1.40033068710504,1.72338207313229,NA,NA,1.494,50,50,NA,NA,52,2.76
"6735","columns",1.53245944583677,2.26854645094002,NA,NA,1.57,1015,1015,NA,NA,1040,4.21
"6736","colvin",0.591863085923983,1.09762711284972,0.573854958428258,1.18864960800882,0.69,54,54,52,52,54,2.81
"6737","colwyn",0.977814644202512,1.48989314272595,0.929016585819777,1.37152021510983,0.91,60,60,53,53,61,3.16
"6738","com",1.42174748392087,2.49943392224546,1.43800665324045,2.64894820285036,1.33,161,161,164,164,167,3.2
"6739","coma",1.39522437507981,1.72970387967068,1.32771954960367,1.94076848341731,1.479,191,191,199,199,195,3.4
"6740","comb",1.31267672371516,1.71843821322657,1.39355650458172,1.97904947856899,1.409,289,289,533,533,294,3.62
"6741","combat",1.7464700128954,2.36721315800427,1.74083043215812,2.53777662373824,1.813,1238,1238,1350,1350,1265,4.2
"6742","combatant",1.17717125951262,1.80204623604864,1.32358347516827,2.15772932214489,1.369,48,48,128,128,49,2.61
"6743","combatants",1.2854701523374,1.95189027321846,NA,NA,1.459,97,97,NA,NA,100,2.99
"6744","combating",1.7756149467631,2.38720313965803,NA,NA,1.833,169,169,NA,NA,173,3.27
"6745","combative",1.65580072430145,2.01737430949894,1.60163422567519,2.37129127470768,1.855,105,105,97,97,105,3.05
"6746","combe",1.13795817734965,1.90412408469635,1.1433311311785,2.15422269012606,1.23,58,58,62,62,61,2.98
"6747","combed",1.2586533785964,1.33119591396324,NA,NA,1.378,153,153,NA,NA,157,3.24
"6748","comber",NA,NA,0.799171783240216,1.53325516284282,NA,NA,NA,44,44,NA,2.64
"6749","combination",2.05557684512547,2.61697005675197,2.03318604457381,2.92657888895869,2.198,3615,3615,3926,3926,3687,4.65
"6750","combinations",1.76692797038625,2.56398402580885,NA,NA,1.808,744,744,NA,NA,759,3.98
"6751","combine",1.98640299991653,2.57116502418571,1.99673742862623,2.82028559775835,2.099,1430,1430,4567,4567,1468,4.24
"6752","combined",2.10013170011012,2.65095031843076,2.02027650972274,2.87511321622003,2.245,3720,3720,1356,1356,3788,4.65
"6753","combines",1.7523821390122,2.36892466918293,NA,NA,1.898,580,580,NA,NA,593,3.8
"6754","combing",1.32273269892658,1.94035535038308,NA,NA,1.404,88,88,NA,NA,90,3.03
"6755","combining",1.97517177267212,2.52468005931921,NA,NA,2.106,896,896,NA,NA,923,4
"6756","combo",0.465044027080165,1.06304273835679,0.450812781419812,1.0232835279594,0.494,95,95,98,98,98,3.39
"6757","combs",1.3398644256404,1.95979468364273,NA,NA,1.439,82,82,NA,NA,83,3.09
"6758","combustible",NA,NA,1.39030103015235,2.26897327278461,NA,NA,NA,42,42,NA,2.66
"6759","combustion",1.28995546921159,2.17565638499036,1.31579860225745,2.34550958383348,1.31,217,217,207,207,222,3.51
"6760","come",1.90802628049747,2.00414786965402,1.92707923268397,2.48221299244007,2.094,30808,30808,33596,33596,31483,5.84
"6761","comeback",1.12976027089301,1.4854124283413,1.04912224704048,1.55324849277113,1.407,454,454,466,466,460,3.72
