,DocID,contextIndex,ContextID
438,BLW,926,BLW_1
439,BLW,927,BLW_2
440,BLW,928,BLW_3
441,BLW,929,BLW_4
442,BLW,930,BLW_5
443,BLW,931,BLW_6
444,BLW,932,BLW_7
445,BLW,933,BLW_8
446,BLW,934,BLW_9
447,B3C,945,B3C_1
448,B3C,946,B3C_2
449,B3C,947,B3C_3
450,B3C,948,B3C_4
451,B3C,949,B3C_5
452,B3C,950,B3C_6
453,B3C,951,B3C_7
454,B3C,952,B3C_8
455,B3C,953,B3C_9
456,B3D,969,B3D_1
457,B3D,970,B3D_2
458,B3D,971,B3D_3
459,B3D,972,B3D_4
460,B3D,973,B3D_5
461,B3D,974,B3D_6
462,B3D,975,B3D_7
463,B3D,976,B3D_8
464,B3D,977,B3D_9
465,B3A,989,B3A_1
466,B3A,990,B3A_2
467,B3A,991,B3A_3
468,B3A,992,B3A_4
469,B34,993,B34_1
470,B34,994,B34_2
471,B34,995,B34_3
472,B34,996,B34_4
473,B34,997,B34_5
474,B34,998,B34_6
475,B34,999,B34_7
476,B34,1000,B34_8
477,B34,1001,B34_9
478,B31,1011,B31_1
479,B31,1012,B31_2
480,B31,1013,B31_3
481,B31,1014,B31_4
482,B31,1015,B31_5
483,B31,1016,B31_6
484,B31,1017,B31_7
485,B31,1018,B31_8
486,B31,1019,B31_9
487,B3K,1031,B3K_1
488,B3K,1032,B3K_2
489,B3K,1033,B3K_3
490,B3K,1034,B3K_4
491,B3K,1035,B3K_5
492,B3K,1036,B3K_6
493,B3K,1037,B3K_7
494,B3K,1038,B3K_8
495,B3K,1039,B3K_9
496,B3B,1053,B3B_1
497,B3B,1054,B3B_2
498,B3B,1055,B3B_3
499,B3B,1056,B3B_4
500,B3B,1057,B3B_5
501,B3B,1058,B3B_6
502,B3B,1059,B3B_7
503,B3B,1060,B3B_8
504,B38,1061,B38_1
505,B38,1062,B38_2
506,B38,1063,B38_3
507,B38,1064,B38_4
508,B38,1065,B38_5
509,B38,1066,B38_6
510,B38,1067,B38_7
511,B38,1068,B38_8
512,B38,1069,B38_9
513,B30,1074,B30_1
514,B30,1075,B30_2
515,B30,1076,B30_3
516,B30,1077,B30_4
517,B30,1078,B30_5
518,B30,1079,B30_6
519,B30,1080,B30_7
520,B30,1081,B30_8
521,B30,1082,B30_9
522,B3G,1092,B3G_1
523,B3G,1093,B3G_2
524,B3G,1094,B3G_3
525,B3G,1095,B3G_4
526,B3G,1096,B3G_5
527,B3G,1097,B3G_6
528,B3G,1098,B3G_7
529,B3G,1099,B3G_8
530,B3G,1100,B3G_9
531,B3J,1108,B3J_1
532,B3J,1109,B3J_2
533,B3J,1110,B3J_3
534,B3J,1111,B3J_4
535,B3J,1112,B3J_5
536,B3J,1113,B3J_6
537,B3J,1114,B3J_7
538,B3J,1115,B3J_8
539,B3J,1116,B3J_9
540,B3F,1131,B3F_1
541,B3F,1132,B3F_2
542,B3F,1133,B3F_3
543,B3F,1134,B3F_4
544,B3F,1135,B3F_5
545,B3F,1136,B3F_6
546,B3F,1137,B3F_7
547,B3F,1138,B3F_8
548,B3F,1139,B3F_9
549,B3H,1147,B3H_1
550,B3H,1148,B3H_2
551,B3H,1149,B3H_3
552,B3H,1150,B3H_4
553,B3H,1151,B3H_5
554,B3H,1152,B3H_6
555,B3H,1153,B3H_7
556,B3H,1154,B3H_8
557,B3H,1155,B3H_9
558,B35,1160,B35_1
559,B35,1161,B35_2
560,B35,1162,B35_3
561,B35,1163,B35_4
562,B39,1164,B39_1
563,B33,1165,B33_1
564,B33,1166,B33_2
565,B33,1167,B33_3
566,B33,1168,B33_4
567,B33,1169,B33_5
568,B33,1170,B33_6
569,B33,1171,B33_7
570,B33,1172,B33_8
571,B33,1173,B33_9
572,B32,1183,B32_1
573,B32,1184,B32_2
574,B32,1185,B32_3
575,B32,1186,B32_4
576,B32,1187,B32_5
577,B32,1188,B32_6
578,B32,1189,B32_7
579,B32,1190,B32_8
580,B32,1191,B32_9
581,BP3,1199,BP3_1
582,BP3,1200,BP3_2
583,BP3,1201,BP3_3
584,BPC,1202,BPC_1
585,BPC,1203,BPC_2
586,BPC,1204,BPC_3
587,BPC,1205,BPC_4
588,BPC,1206,BPC_5
589,BPC,1207,BPC_6
590,BPC,1208,BPC_7
591,BPC,1209,BPC_8
592,BPC,1210,BPC_9
593,BPF,1216,BPF_1
594,BPF,1217,BPF_2
595,BPF,1218,BPF_3
596,BPF,1219,BPF_4
597,BPF,1220,BPF_5
598,BPF,1221,BPF_6
599,BPF,1222,BPF_7
600,BPF,1223,BPF_8
601,BPF,1224,BPF_9
602,BP2,1234,BP2_1
603,BP2,1235,BP2_2
604,BP2,1236,BP2_3
