Word,cosMean,SemD,WordCount,nContexts
borrow,0.218611964,2.193555735,1071,844
borrowed,0.220924091,2.178377344,1014,920
borrower,0.279051932,1.841394462,274,170
borrowers,0.325998145,1.61706434,493,281
borrowing,0.221590449,2.174032398,1446,983
borrowings,0.301371516,1.730385029,294,227
borrows,0.195788682,2.352630728,95,88
borstal,0.288142853,1.795143859,57,49
bosch,0.226399184,2.143059339,125,80
bosnia,0.345633408,1.532685424,1188,492
bosnian,0.383219606,1.383756723,588,277
bosnians,0.381350068,1.390812136,55,42
bosnias,0.514036257,0.960057974,88,66
bosom,0.431769038,1.211668305,234,225
boss,0.311291694,1.683661012,2853,2000
bosses,0.309070345,1.69399286,770,625
bosss,0.309298263,1.692929362,95,87
bossy,0.388477656,1.364096472,95,86
boston,0.217972653,2.197780952,742,549
boswell,0.376572958,1.408998692,391,108
boswells,0.49690517,1.008957542,86,47
bosworth,0.215253294,2.21589278,62,45
botanic,0.26928948,1.892770226,159,114
botanical,0.28493556,1.811292415,313,209
botanist,0.319156798,1.647662716,110,96
botanists,0.356840473,1.486648839,81,60
botany,0.28336203,1.819281643,229,163
botched,0.28905184,1.790599837,56,55
both,0.177006151,2.498128598,62746,39214
botha,0.410207186,1.285575328,160,92
botham,0.488069251,1.034842232,238,124
bother,0.352139497,1.505781042,1566,1451
bothered,0.340281528,1.555199258,940,905
bothering,0.393931089,1.343984818,297,289
bothers,0.315814794,1.662849341,90,88
bothwell,0.387275554,1.368567657,107,43
bothy,0.398534569,1.327223227,72,43
botswana,0.26555285,1.912929082,196,114
bottle,0.323765496,1.62697885,3507,2493
bottled,0.248312424,2.009771651,256,222
bottleneck,0.189546241,2.399378245,56,45
bottlenecks,0.234415461,2.092860368,57,56
bottles,0.302795463,1.723584505,1538,1185
bottling,0.218063932,2.197176932,98,85
bottom,0.227569011,2.135623981,5973,4761
bottomed,0.223041316,2.164617117,113,105
bottomless,0.287576036,1.797984633,90,86
bottomley,0.307256217,1.702485894,323,211
bottoms,0.283540756,1.818371975,281,242
boudoir,0.449230181,1.154473237,60,54
bough,0.315465934,1.664443873,102,77
boughs,0.343770894,1.540480692,76,75
bought,0.240356311,2.05675341,6806,5440
boulder,0.269216352,1.893162056,225,186
boulders,0.364510229,1.455968793,309,260
boulevard,0.3224619,1.632799382,194,160
boulevards,0.330700997,1.596400698,62,53
boulogne,0.316887567,1.657957036,147,110
boulton,0.240788487,2.054161683,86,51
bounce,0.267159806,1.904225125,444,393
bounced,0.316674682,1.658926567,484,459
bouncer,0.378465844,1.40176499,97,72
bouncers,0.337513354,1.566983509,63,53
bounces,0.263013244,1.926792649,83,78
bouncing,0.31161789,1.682150035,376,347
bouncy,0.263459389,1.924347503,97,80
bound,0.203475259,2.297074713,4961,4275
boundaries,0.186668699,2.42144806,2155,1581
boundary,0.18581342,2.428073392,1810,1163
bounded,0.219764644,2.185968792,336,308
bounding,0.257508324,1.957309028,120,112
boundless,0.255904986,1.966319839,80,78
bounds,0.212897114,2.231771704,570,480
bounty,0.25789687,1.955133831,177,143
bouquet,0.270285166,1.887445761,273,195
bouquets,0.289743019,1.787154191,65,59
bourbon,0.287332132,1.799208759,127,93
bourgeois,0.276622921,1.854007391,1074,629
bourgeoisie,0.358973495,1.478050771,578,333
bourne,0.258459656,1.951988994,170,91
bournemouth,0.25931991,1.947195119,342,281
bout,0.274790651,1.863595173,427,371
boutique,0.290838635,1.781709165,116,103
boutiques,0.331243113,1.594037636,98,90
boutros,0.354115224,1.497709226,201,83
bouts,0.265158707,1.915071969,215,202
bovine,0.190799555,2.389870291,218,138
bow,0.294663058,1.762861894,1398,1085
bowd,0.619623336,0.690536616,135,129
bowden,0.239762961,2.060319287,100,74
bowe,0.500677065,0.998047724,242,82
bowed,0.366229889,1.449178556,765,680
bowel,0.266132292,1.909784521,1237,425
bowels,0.307858766,1.699659449,178,169
bowen,0.259515709,1.946106222,214,165
bower,0.281580116,1.828382632,185,116
bowers,0.233190105,2.100421521,104,67
bowes,0.323084206,1.63001787,173,111
bowie,0.414001266,1.272292916,238,135
bowing,0.301152094,1.731435803,209,196
bowl,0.270900279,1.884166217,2145,1500
bowled,0.420885798,1.248499264,366,291
bowler,0.432821226,1.208156842,598,401
bowlers,0.590518026,0.759946995,407,268
bowles,0.309392066,1.692491894,171,114
bowling,0.372842883,1.423360292,726,486
bowls,0.266782977,1.906261482,626,503
bowman,0.227954879,2.133179805,138,105
bows,0.273915302,1.868198234,402,331
box,0.239077487,2.064449811,7793,5274
boxed,0.207229286,2.270700191,242,179
boxer,0.339111296,1.560169251,417,343
boxers,0.356950732,1.486203136,172,127
boxes,0.221627975,2.173788097,2306,1748
boxing,0.353078155,1.501940533,1123,698
boy,0.35671537,1.487154716,10306,6189
boyce,0.250269619,1.998444925,62,48
boycott,0.232392141,2.105366815,585,422
boycotted,0.292415734,1.773907156,174,162
boycotting,0.2392562,2.063371786,50,49
boycotts,0.222533238,2.167907262,56,51
boyd,0.241865666,2.047722106,358,206
boyfriend,0.407849977,1.293889524,853,655
boyfriends,0.432246007,1.210075457,205,180
boyhood,0.355780261,1.490941624,140,131
boyish,0.419993141,1.251562329,158,154
boyle,0.234034982,2.095203903,272,179
boys,0.309032734,1.694168432,7749,4753
boyz,0.366243632,1.449124422,107,47
boz,0.420416326,1.250109402,118,44
bp,0.197833827,2.337638965,1249,478
