Word,SemD_Rep_Log10,cosMean_Rep,SemD_Rep_Log2,WordCount_Rep,nContexts_Rep
abolition,1.5757609374978532,0.026560672230660207,5.234564529100167,1096,810
abolitionist,0.7713228217419796,0.1693078825568258,2.5622789517724787,232,55
abominable,1.4161806377204853,0.038354768189558165,4.704450247879182,81,73
abomination,1.388310811832853,0.04089678686535155,4.611868690263437,60,55
aboriginal,1.434830480907256,0.036742569056598263,4.766403685926559,216,114
aborigine,1.3941425931817768,0.04035128846457585,4.631241448569667,87,57
abort,1.7012031192058212,0.019897425202373344,5.651274436799832,211,169
abortion,1.3091774275000692,0.04907073606702124,4.348993277604843,1466,493
abortive,1.6318233923775598,0.023344071654848628,5.42079997303342,240,231
abound,1.75761179418271,0.017473834007409733,5.838659999000929,457,440
abraham,1.2331094950537627,0.05846426644714952,4.096301075691463,478,234
abrams,1.1916514069516464,0.06432037874423702,3.9585802880647276,64,44
abrasion,1.2721139615901274,0.053442410476609206,4.225871108904707,102,82
abrasive,1.4477511709240438,0.03566554206638817,4.809325289098657,248,199
abreast,1.735103275742123,0.0184033431575017,5.763888319218853,176,169
abroad,1.8029442103514115,0.015741850719428824,5.989251025880864,3562,2699
abrogate,1.6600539442456197,0.02187489896294485,5.514579836418103,84,78
abrupt,1.6765143356632084,0.021061323763424386,5.569260073121034,453,429
abruptly,1.298592910110023,0.050281368568475315,4.3138322719160245,1120,1009
abscess,1.2410774945448382,0.057401402727760946,4.122770197060915,89,62
abscond,1.4156765937183695,0.038399308736792905,4.702775849947494,92,64
abseil,0.583351316370738,0.26100491379035007,1.9378511270414809,177,97
absence,2.0454439968357625,0.00900649895914114,6.794817879607416,5572,4292
absent,1.9469507664565873,0.01129924000594984,6.467630450454621,1594,1371
absentee,1.4805854328002068,0.033068505452271094,4.918398346099972,208,156
absenteeism,1.4569427315584356,0.034918635806248384,4.839858992605904,161,96
absently,1.1042307251140404,0.07866277714857321,3.6681750689941746,195,185
absolute,1.9421848267535324,0.011423920528797753,6.451798341456504,3076,2494
absolutely,1.7431147261755413,0.018066967936887553,5.790501781494423,3676,3150
absolution,1.3830568281740925,0.04139455057999101,4.594415334337321,62,57
absolutism,1.0363265547548957,0.0919757727347771,3.442602297718114,59,50
absolutist,1.0432819252776717,0.09051448290917131,3.465707538468076,58,44
absolve,1.6340085895726861,0.023226908572073483,5.428059040988779,145,129
absorb,1.8865450677507265,0.012985388044385095,6.266967062832321,2454,2058
absorbed,1.5969739617804957,0.025294496456000824,5.3050326704422055,131,126
absorbent,1.3132479674458635,0.04861295629144786,4.362515318612138,77,68
absorber,1.2677963553144205,0.05397636633407983,4.211528331314774,53,46
absorbing,1.646523680411196,0.02256712942247385,5.469633272855292,206,192
absorption,1.6459500197363448,0.022596958096608253,5.467727613342572,969,486
abstain,1.5834600479430325,0.026093957581453695,5.2601404203936495,270,224
abstention,1.186255342996384,0.06512453824198067,3.9406549516099325,307,224
abstinence,1.3764410822909825,0.04202995429228657,4.572438302219583,147,108
abstract,1.688541916506938,0.020486043166573858,5.609214831839348,2332,1651
abstracted,1.6195816846630955,0.024011446039972004,5.380133900247341,72,62
abstraction,1.37601557142137,0.042071154370241504,4.571024785707137,568,397
absurd,1.6557692718509391,0.02209178093994271,5.500346462812826,878,798
absurdity,1.5445625345060403,0.02853891549440517,5.130925677686046,293,262
absurdly,1.6124859384957495,0.02440698091221916,5.356562341699846,170,167
abta,0.755646759424826,0.1755307629766841,2.510204199943921,63,40
abu,1.130956851774418,0.0739678760312904,3.756957340014801,461,229
abundance,1.6689076062041914,0.021433465379716934,5.543991064820918,647,516
abundant,1.5685592251644658,0.027004788162681762,5.21064095856859,575,509
abundantly,1.7888825246193611,0.01625988521385186,5.942539116986089,165,153
abuse,1.7145781670012632,0.019293980399690908,5.695705383841972,4444,2407
abused,1.2864708709737331,0.05170459361425813,4.273563729541859,85,78
abuser,1.182877861850987,0.0656329822270765,3.929435202103086,119,90
abusive,1.4435463676794968,0.03601252993745503,4.795357235067122,256,165
abut,1.6433374202453315,0.0227333050572817,5.459048745692687,73,68
abysmal,1.6521814629991218,0.02227504227804342,5.488428019788888,74,71
abyss,1.4345667982695982,0.0367648841438946,4.76552775116439,140,126
abyssinia,0.8595788062296311,0.13817236582718018,2.855458986183952,127,51
ac,1.4820705239987744,0.032955619202321346,4.923331712275964,909,495
academia,1.2404148007372184,0.05748905889871623,4.120568775883076,94,81
academic,1.6425768434992105,0.022773152610147677,5.456522164431429,5399,2796
academically,1.3642995364420358,0.04322156255715722,4.532104959948604,162,148
academy,1.4288695240433409,0.03725036014445856,4.7466018158479075,1395,912
acc,1.3018536483317638,0.04990526334613379,4.324664209824898,80,45
accademia,0.6282709059894853,0.2353580699701853,2.087070773806808,57,40
accede,1.6125865698166586,0.0244013261726404,5.356896631711999,217,201
accelerate,1.858796444045403,0.013842150153199194,6.174788130151149,1007,880
accelerated,1.658027994280761,0.021977182050318348,5.507849776311002,230,194
accelerating,1.634849365604198,0.023181985742717025,5.430852038509367,158,139
acceleration,1.5061663452370802,0.03117695203085728,5.0033762978168745,558,338
accelerator,1.142679245547116,0.07199805336919947,3.7958982892276594,343,226
accent,1.5141730215169549,0.03060743800327106,5.029973900697659,1525,1199
accentuate,1.8479313356532154,0.014192819002272433,6.138695021329145,362,336
accept,2.0084549273894243,0.00980720091624911,6.671942850609885,17696,11754
acceptability,1.6907114942091974,0.02038395752942167,5.616422012962525,263,220
acceptable,1.993773663294192,0.010144399330294145,6.623172746943474,3264,2714
acceptance,1.9095063298267718,0.012316680340873326,6.3432427244168075,2602,1985
accepted,1.9488633038638092,0.011249590041402259,6.473983762200195,973,900
access,1.9231762311792824,0.011935036975611733,6.388653153774051,10490,5763
accessibility,1.57129699240183,0.02683508699874175,5.219735624471654,298,222
accessible,1.8367201826849318,0.014563971396584423,6.101452377307723,1543,1249
accession,1.3286006014879133,0.04692447242427916,4.413515664966948,565,415
accessory,1.3278899438392022,0.047001320128747304,4.411154911357848,710,499
accident,1.6593324738415285,0.021911268774423374,5.512183163613123,7424,3811
accidental,1.7962213518244736,0.015987429713485376,5.966918173262276,700,581
accidentally,1.7783072978888863,0.016660679198094868,5.9074089742003215,505,475
acclaim,1.5353267517351399,0.029152328442400104,5.100245071421115,392,366
acclaimed,1.1692818933122644,0.06772018045159317,3.8842703722370984,168,154
acclimatise,1.5404787359279983,0.02880854099666059,5.117359592455788,71,67
accolade,1.6681698464648802,0.021469906520666163,5.5415402800156235,185,176
accommodate,1.9319361567937572,0.011696713252309058,6.417752996781899,1859,1632
accommodation,1.5849472445019523,0.02600475434193508,5.265080780425345,4016,2142
accompaniment,1.1980040256940745,0.06338638356268644,3.9796832307413075,457,349
accompany,1.9842802102203914,0.010368592102237369,6.591636178460119,4493,3855
accompanying,1.871678838785539,0.01343758304446708,6.217582519167836,629,577
accompli,1.700532060822082,0.01992819385285235,5.649045229101579,63,62
accomplice,1.404338029867379,0.03941503986328741,4.665109956135214,258,219
accomplish,1.8963283011233005,0.01269613988744165,6.299466260631514,918,833
accomplished,1.5559401367966077,0.027800964501773356,5.168721254387537,267,258
accomplishment,1.6452567130785016,0.022633060635056285,5.46542449847751,210,195
accord,2.069521540233577,0.008520762488652928,6.874801747476486,16686,11237
accordance,1.7722996813018748,0.016892748592773874,5.887452103876616,1855,1367
accordingly,1.9598303967867574,0.010969064828244614,6.510415656300177,2113,1803
accordion,1.0232825419151477,0.09478016449157403,3.399271024995684,94,77
accost,1.5130755270684317,0.03068488308850699,5.026328103055127,79,79
