Word,SemD_P1_U,SemD_P1_W,SemD_P2_U,SemD_P2_W,SemD_H13,ContextCount_P1_U,ContextCount_P1_W,ContextCount_P2_U,ContextCount_P2_W,ContextCount_H13
abut,,,1.64333742,2.577420218,,,,68,68,
abysmal,1.702220905,2.004581583,1.652181463,2.201789342,1.879,71,71,71,71,71
abyss,1.494256295,1.745141479,1.434566798,2.021274479,1.65,125,125,126,126,128
abyssinia,0.828063362,1.191168422,0.859578806,1.508195093,0.89,67,67,51,51,67
ac,1.417355699,2.415505292,1.482070524,2.710819244,1.41,557,557,495,495,569
academia,1.339653991,1.941863528,1.240414801,2.053906294,1.384,89,89,81,81,92
academic,1.572211103,2.224294042,1.642576843,2.402524953,1.589,2828,2828,2796,2796,2895
academically,1.356574132,1.990235971,1.364299536,2.112143684,1.355,155,155,148,148,160
academics,1.541172628,2.15128624,,,1.54,603,603,,,617
academies,1.408270013,2.011720706,,,1.454,58,58,,,59
academy,1.464166782,2.024831601,1.428869524,2.225829322,1.609,917,917,912,912,934
academys,1.168928057,1.923882059,,,1.3,44,44,,,45
acanthus,,,,,0.957,,,,,40
acas,0.891725087,1.751961242,,,0.89,43,43,,,44
acc,1.23104277,2.589272916,1.301853648,2.652422493,1.16,50,50,45,45,51
accademia,0.636658124,1.158459931,0.628270906,1.248279055,0.79,40,40,40,40,41
accede,1.612912789,2.325135752,1.61258657,2.393891076,1.683,89,89,201,201,94
acceded,1.561060681,2.192714419,,,1.648,99,99,,,103
accelerate,1.805584581,2.593552281,1.858796444,2.718770227,1.835,363,363,880,880,369
accelerated,1.838132106,2.527727008,1.658027994,2.633279571,1.905,594,594,194,194,605
accelerates,1.461582868,2.573522101,,,1.442,63,63,,,64
accelerating,1.710240615,2.476810611,1.634849366,2.643955508,1.756,273,273,139,139,276
acceleration,1.441364636,2.47712073,1.506166345,2.688923876,1.438,362,362,338,338,364
accelerator,1.16182864,2.052111088,1.142679246,2.151228009,1.215,212,212,226,226,218
accent,1.546457052,1.578010338,1.514173022,1.970352439,1.662,983,983,1199,1199,995
accented,1.436929034,1.738175775,,,1.392,58,58,,,59
accents,1.491680441,1.801011537,,,1.576,286,286,,,290
accentuate,1.634754413,2.330103448,1.847931336,2.724494791,1.752,85,85,336,336,86
accentuated,1.846275814,2.303709718,,,2.007,209,209,,,209
accept,2.005597886,2.373416869,2.008454927,2.676881658,2.079,6951,6951,11754,11754,7086
acceptability,1.693359059,2.343658317,1.690711494,2.554855506,1.722,234,234,220,220,236
acceptable,2.018635287,2.501998205,1.993773663,2.747769054,2.079,2892,2892,2714,2714,2939
acceptance,1.915982458,2.468953479,1.90950633,2.716106935,1.982,2082,2082,1985,1985,2122
acceptances,0.817372958,1.702781004,,,0.796,52,52,,,52
accepted,2.068210863,2.425380902,1.948863304,2.748367987,2.177,7030,7030,900,900,7150
accepting,2.001449882,2.444342107,,,2.1,1484,1484,,,1500
accepts,1.872576941,2.452593309,,,1.95,681,681,,,696
access,1.964716521,2.610701539,1.923176231,2.768458487,1.919,6392,6392,5763,5763,6539
accessed,1.354150229,2.322557927,,,1.192,266,266,,,271
accesses,1.178842627,2.284411391,,,1.038,47,47,,,47
accessibility,1.591846835,2.386484889,1.571296992,2.533161236,1.643,228,228,222,222,232
accessible,1.858572522,2.444991638,1.836720183,2.664268346,1.943,1333,1333,1249,1249,1358
accessing,1.244880018,2.16683842,,,1.174,137,137,,,138
accession,1.218315828,2.057694453,1.328600601,2.391176122,1.353,412,412,415,415,415
accessories,1.183219282,1.874234796,,,1.292,382,382,,,396
accessory,1.472148309,2.211136956,1.327889944,2.243079047,1.572,170,170,499,499,174
accident,1.633634883,2.080083947,1.659332474,2.342981518,1.621,3605,3605,3811,3811,3675
accidental,1.80303039,2.324379211,1.796221352,2.602273885,1.884,605,605,581,581,618
accidentally,1.84690716,2.144855322,1.778307298,2.464167194,2.002,479,479,475,475,486
accidents,1.471670687,2.193189447,,,1.416,1102,1102,,,1128
acclaim,1.47563612,1.914545112,1.535326752,2.26258341,1.68,239,239,366,366,245
acclaimed,1.361563927,1.972346159,1.169281893,1.928506916,1.547,282,282,154,154,291
acclimatise,,,1.540478736,2.406324482,,,,67,67,
accolade,1.719017341,2.038754233,1.668169846,2.257019686,1.854,144,144,176,176,147
accommodate,1.968851382,2.470071612,1.931936157,2.739575569,2.094,1169,1169,1632,1632,1190
accommodated,1.826274963,2.518337979,,,1.911,384,384,,,393
accommodates,1.585902512,2.406495324,,,1.678,66,66,,,67
accommodating,1.922151247,2.3725492,,,2.062,205,205,,,208
accommodation,1.555219821,2.2584825,1.584947245,2.393111121,1.571,2376,2376,2142,2142,2432
accompanied,2.000430321,2.417585183,,,2.162,2930,2930,,,2997
accompanies,1.775309543,2.366624152,,,1.927,216,216,,,220
accompaniment,1.179155137,1.880451119,1.198004026,2.133210376,1.35,322,322,349,349,330
accompaniments,0.704654658,1.532751408,,,0.916,50,50,,,50
accompany,1.936413136,2.234735045,1.98428021,2.73116901,2.054,800,800,3855,3855,817
accompanying,1.94613476,2.529815149,1.871678839,2.815738273,2.06,898,898,577,577,918
accompli,1.69222558,2.168316363,1.700532061,2.601663117,1.74,66,66,62,62,66
accomplice,1.417023646,1.754670317,1.40433803,2.074169892,1.513,160,160,219,219,161
accomplices,1.397727479,1.962153635,,,1.508,67,67,,,67
accomplish,1.810388921,2.252853648,1.896328301,2.740205525,1.879,237,237,833,833,242
accomplished,1.935600486,2.332848269,1.555940137,2.202769893,2.12,865,865,258,258,879
accomplishing,,,,,2.078,,,,,49
accomplishment,1.668903205,2.077671966,1.645256713,2.332952744,1.834,122,122,195,195,123
accomplishments,1.613385948,2.039829923,,,1.774,81,81,,,83
accord,1.854800795,2.502382183,2.06952154,2.791880961,1.882,976,976,11237,11237,991
accordance,1.740291901,2.601775088,1.772299681,2.792780542,1.706,1534,1534,1367,1367,1582
accorded,1.820385263,2.371109292,,,1.89,452,452,,,459
according,2.084352477,2.540074623,,,2.219,11717,11717,,,11935
accordingly,1.925394264,2.564067393,1.959830397,2.891065378,1.963,1952,1952,1803,1803,2010
accordion,1.050865947,1.322245624,1.023282542,1.457873486,1.194,71,71,77,77,71
accords,1.682595326,2.447767396,,,1.749,227,227,,,228
accost,,,1.513075527,1.87239944,,,,79,79,
accosted,1.517967142,1.401748615,,,1.71,52,52,,,52
account,2.022204533,2.49704975,2.029299127,2.761343733,2.108,10493,10493,12085,12085,10710
accountability,1.317138117,2.007603488,1.322350288,2.105569046,1.321,634,634,569,569,649
accountable,1.494897804,2.16124127,1.489082561,2.253262752,1.521,483,483,447,447,493
accountancy,1.071897635,1.872776983,1.110933107,1.930127122,1.036,483,483,424,424,491
accountant,1.473025782,2.0051269,1.456381933,2.206903464,1.487,537,537,1075,1075,547
accountants,1.280894227,1.999044476,,,1.265,797,797,,,818
accounted,1.836269692,2.560817746,,,1.882,1148,1148,,,1171
accounting,1.300483255,2.220556077,1.260472983,2.137100677,1.331,1543,1543,908,908,1570
accounts,1.775857177,2.398212186,,,1.753,3946,3946,,,4051
accoutrement,,,1.540166343,2.028524132,,,,50,50,
accredit,,,1.224946449,2.228307623,,,,102,102,
accreditation,1.168121239,1.94540004,1.162502855,2.045693349,1.126,171,171,163,163,175
accredited,1.384715774,2.235098803,1.502262413,2.451162756,1.341,167,167,82,82,174
accretion,1.070213987,1.91429354,1.332385403,2.543454117,1.132,70,70,77,77,70
accrual,,,0.555126226,1.274117705,,,,57,57,
accruals,0.318079527,0.76897832,,,0.387,40,40,,,41
accrue,1.686819654,2.381567716,1.703073525,2.632980759,1.695,169,169,397,397,173
accrued,1.534096102,2.602819538,1.023578632,2.147705208,1.433,179,179,62,62,182
accruing,1.579937557,2.515180654,,,1.517,117,117,,,120
accumulate,1.77199236,2.498848266,1.878781252,2.793190447,1.872,319,319,913,913,321
accumulated,1.932604541,2.488984206,1.90096706,2.680401938,2.048,703,703,258,258,710
accumulates,1.274325929,2.17940454,,,1.394,77,77,,,78
accumulating,1.814834567,2.495147629,,,1.96,200,200,,,201
accumulation,1.547526444,2.489361568,1.595157084,2.719320127,1.554,601,601,613,613,611
accumulations,1.376563895,2.490047779,,,1.467,68,68,,,68
accumulator,0.510941019,1.368883643,0.840817588,2.140101149,0.498,60,60,59,59,60
accuracy,1.819498939,2.43810281,1.832423918,2.739606485,1.881,1285,1285,1204,1204,1311
accurate,1.943222327,2.423830267,1.942287832,2.747681623,2.047,2329,2329,2217,2217,2375
accurately,1.911612327,2.427994889,1.925871756,2.812852495,2.014,1215,1215,1157,1157,1239
accusation,1.726612103,1.996768545,1.7648463,2.477083571,1.774,391,391,962,962,398
accusations,1.780923287,2.212638166,,,1.841,620,620,,,625
accuse,1.769963041,1.958469074,1.632373413,2.237037434,1.873,309,309,3462,3462,315
accused,1.611118989,2.091577138,1.107120459,1.96388889,1.717,3324,3324,353,353,3363
accuseds,0.478677026,1.030161981,,,0.47,47,47,,,48
accuser,,,1.519530304,2.176323921,,,,45,45,
accuses,1.634837675,2.098680742,,,1.769,111,111,,,114
accusing,1.731377039,2.028975334,1.475647136,1.84911708,1.831,489,489,66,66,493
accusingly,1.179529529,0.900636091,1.111606771,1.41045548,1.295,92,92,90,90,94
accustom,,,1.794358086,2.498168219,,,,199,199,
accustomed,1.843860908,2.038156541,1.765364364,2.403263252,1.999,813,813,659,659,830
ace,1.006007937,1.747163849,1.102817481,1.925173191,1.264,649,649,648,648,660
acer,0.832742616,1.494610318,0.69982994,1.438589072,0.88,59,59,62,62,62
aces,0.899603365,1.69348801,,,1.116,182,182,,,182
acetate,1.203668322,2.400156933,1.303342843,2.533151676,1.148,94,94,91,91,94
acetic,0.920886725,2.042399508,1.005917423,2.116039608,0.803,77,77,69,69,78
ach,0.966446625,1.008179463,1.300040488,1.856186969,1.05,69,69,202,202,71
ache,1.32358947,1.231324282,1.178951726,1.574753802,1.399,307,307,657,657,311
ached,1.202819897,0.96819743,,,1.294,240,240,,,246
aches,1.337531125,1.76252762,,,1.365,140,140,,,141
acheson,0.814047917,1.495664057,0.900342198,1.70874998,0.77,65,65,60,60,66
achievable,1.704055005,2.243719275,1.658861267,2.444987194,1.736,157,157,153,153,163
achieve,1.972721516,2.459164808,2.023717668,2.748812657,2.069,5297,5297,10298,10298,5404
achieved,2.049137437,2.527660656,,,2.142,6306,6306,,,6457
achievement,1.819834643,2.287275946,1.836237553,2.495158751,1.866,2381,2381,3160,3160,2437
achievements,1.813167226,2.232485886,,,1.893,1280,1280,,,1303
achiever,,,1.426246421,2.065986087,,,,81,81,
achievers,1.337807676,1.969856832,,,1.355,59,59,,,59
achieves,1.771343048,2.313718339,,,1.927,310,310,,,316
