Word,SemD_P1_U,SemD_P1_W,SemD_P2_U,SemD_P2_W,SemD_H13,ContextCount_P1_U,ContextCount_P1_W,ContextCount_P2_U,ContextCount_P2_W,ContextCount_H13
gases,1.120738268,2.055424124,,,1.097,512,512,,,528
gash,1.332605601,1.513491362,1.28736324,1.816574402,1.491,112,112,161,161,114
gaskell,1.366778416,1.80571251,1.290597875,1.935960467,1.29,44,44,43,43,46
gasket,,,0.959557328,1.92997476,,,,41,41,
gasoline,1.440997084,2.091828745,1.356009466,2.245734372,1.479,53,53,53,53,53
gasp,1.245875948,1.169048489,1.21202849,1.633242252,1.292,368,368,1216,1216,372
gasped,1.212213184,1.017999357,,,1.212,623,623,,,637
gasping,1.203487033,1.248055507,,,1.287,288,288,,,291
gasps,1.466192187,1.520322357,,,1.591,124,124,,,128
gassed,1.583802254,2.19121237,,,1.646,51,51,,,51
gaston,0.999183606,1.690447501,1.039079654,2.020340259,1.01,65,65,56,56,66
gastric,1.016613092,1.816354176,1.067214621,1.852342741,0.381,369,369,286,286,371
gastrin,0.689330975,1.249652623,0.744699213,1.324691704,0.381,77,77,60,60,77
gastritis,0.726590142,1.32434952,0.746414997,1.298080742,0.446,100,100,82,82,100
gastro,0.822654764,1.843997258,0.904749666,1.924592595,0.75,76,76,67,67,76
gastrointestinal,0.97993106,1.584294717,0.992837751,1.533576613,0.83,248,248,216,216,250
gastronomic,1.086094537,1.731236327,1.121857953,1.967586277,1.158,50,50,49,49,50
gate,1.562374711,1.80497596,1.55874938,2.117734122,1.667,2194,2194,2938,2938,2234
gatehouse,1.098277871,1.667202109,1.113076876,1.854714293,1.192,106,106,108,108,106
gatekeeper,1.440391293,2.067998948,1.459191343,2.373988299,1.475,41,41,64,64,42
gates,1.651569574,1.964086607,1.012573338,1.912572583,1.787,1417,1417,154,154,1454
gateshead,1.033483016,1.639691763,0.945124841,1.660101133,1.13,288,288,267,267,294
gateway,1.517156962,2.174984414,1.451456151,2.339406799,1.633,446,446,507,507,454
gateways,1.334029162,2.21466013,,,1.378,95,95,,,96
gather,1.847027679,1.993610576,1.787338801,2.354307134,2.007,1253,1253,3882,3882,1274
gathered,1.826177739,2.019122215,1.684247465,2.470550045,1.979,2315,2315,189,189,2346
gatherer,1.177403679,1.831074705,1.399786028,2.282943305,1.24,42,42,84,84,44
gatherers,1.385727467,2.002986296,,,1.294,56,56,,,56
gathering,1.891698527,2.122800273,1.843793397,2.452729846,2.048,1687,1687,1076,1076,1714
gatherings,1.718898211,2.268049263,,,1.804,202,202,,,209
gathers,1.591093929,2.061009493,,,1.728,154,154,,,156
gatt,1.010824051,1.709231193,1.024524005,1.675266,1.04,282,282,268,268,292
gatting,0.282291539,0.568323496,0.291289905,0.545186344,0.4,80,80,84,84,81
gatwick,1.124758265,1.735029998,1.140330218,1.833963719,1.12,191,191,179,179,196
gauche,1.405144212,1.664398852,1.369297979,2.107755221,1.513,76,76,77,77,78
gaudy,1.511414811,1.672247069,1.433925578,1.938193405,1.637,139,139,144,144,142
gauge,1.45697158,2.332670193,1.642585806,2.677218289,1.54,593,593,725,725,614
gauged,1.873411314,2.294433963,,,2.019,98,98,,,98
gauges,1.176944463,1.978069912,,,1.312,80,80,,,80
gauguin,0.676062238,1.162734418,0.716239248,1.282684143,0.84,51,51,52,52,51
gaul,0.586798157,1.115180907,0.659269118,1.454033106,0.683,101,101,91,91,102
gaulle,0.517103334,1.184288556,0.616221747,1.415469881,0.65,169,169,147,147,173
gaulles,0.362662849,0.879612092,,,0.47,99,99,,,100
gaullist,0.561810895,1.229643602,0.661425209,1.391591906,0.584,88,88,83,83,88
gaunt,1.425867511,1.51219245,1.392483421,1.856590061,1.565,238,238,229,229,242
gauntlet,1.657660531,1.885566578,1.568079634,2.056401805,1.867,129,129,149,149,130
gaussian,0.766358476,1.458699543,,,0.75,50,50,,,52
gauze,1.442748588,1.643351912,1.31730922,1.785995845,1.556,84,84,87,87,85
gav,0.282031105,0.652297014,0.308757039,0.759898337,0.25,85,85,65,65,86
gave,1.837499754,1.917283011,,,2.05,15613,15613,,,15888
gavin,1.251173535,1.628123297,1.191641375,1.726027165,1.44,403,403,386,386,409
gawd,0.954396436,1.182164046,1.030694052,1.591431179,0.93,47,47,59,59,47
gawp,,,1.376086505,1.777862504,,,,59,59,
gay,1.206236964,1.714246318,1.146502289,1.940294776,1.26,754,754,682,682,770
gaye,,,0.941116159,1.63303732,,,,43,43,
gays,0.907803709,1.652464739,,,0.952,123,123,,,125
gaza,0.468731266,1.142671433,0.529099944,1.239384519,0.49,154,154,146,146,155
gaze,1.256341436,1.109845124,1.286267689,1.661198913,1.29,1766,1766,2756,2756,1807
gazed,1.321244175,1.106078421,,,1.41,911,911,,,934
gazelle,1.275698536,1.724739803,1.212078906,1.884419294,1.417,56,56,66,66,57
gazes,1.14191086,1.345359306,,,1.243,70,70,,,73
gazette,1.60813627,2.265610026,1.565646092,2.399951432,1.684,241,241,237,237,251
gazing,1.417735079,1.233608048,,,1.544,762,762,,,779
gazza,0.749928925,1.03427313,0.753521494,1.173055895,0.89,121,121,119,119,121
gb,0.85211573,1.505204001,0.755820429,1.481477743,0.89,283,283,264,264,290
gc,1.223425408,2.421873259,1.288162297,2.583622098,1.14,93,93,78,78,97
gcc,0.642274334,1.347139484,0.68123636,1.398565134,0.57,72,72,65,65,74
gce,0.881166616,1.592012344,0.879149763,1.543379626,0.782,102,102,83,83,105
gchq,1.066701499,1.688422042,1.097693016,1.778377754,1.12,49,49,44,44,52
gcse,1.073633766,1.717644368,1.169671544,1.915125564,0.98,257,257,263,263,263
gdansk,1.127554758,2.088475676,1.079169832,1.94031264,0.97,42,42,40,40,43
gdp,0.984641155,1.534338962,0.974012086,1.496904658,1.02,549,549,498,498,554
gdr,0.698545922,1.488222441,0.765427028,1.578555576,0.75,86,86,80,80,87
ge,1.508069403,2.229145627,1.573094227,2.495226061,1.55,160,160,162,162,162
gear,1.474796269,1.797525774,1.633799566,2.285955915,1.633,1376,1376,1956,1956,1395
gearbox,0.541636291,1.231978791,0.643415038,1.450359071,0.581,141,141,132,132,144
geared,1.971573939,2.459837343,,,2.054,508,508,,,518
gearing,1.284202412,2.065900934,1.047939803,1.855864485,1.358,243,243,138,138,248
gears,1.291110237,1.892258752,,,1.32,186,186,,,189
gec,1.255147429,1.939930271,1.167080122,1.854544403,1.33,141,141,133,133,142
geddes,1.474176469,2.063849388,1.381929838,2.08731805,1.58,53,53,48,48,53
gedge,0.499398533,0.847424774,0.398090896,0.920494378,0.56,80,80,45,45,81
gee,1.626762285,1.921599336,1.547790711,2.099156734,1.794,173,173,174,174,174
geese,1.184890109,1.714565162,,,1.287,224,224,,,226
geezer,0.965785145,1.256179647,1.021367689,1.529216019,1.045,58,58,79,79,58
gel,1.197398066,2.33910129,1.283978035,2.548601529,1.051,364,364,372,372,374
gelding,0.636154912,1.068601145,0.672595019,1.236122572,0.616,96,96,102,102,96
geldof,0.802412417,1.272486517,0.879504094,1.409863725,0.99,52,52,52,52,53
gels,1.073496866,2.15272187,,,0.86,103,103,,,103
gem,1.562378773,2.010824411,1.589176829,2.237228508,1.735,250,250,430,430,255
gemini,1.160702868,1.792960876,1.219942834,2.084784381,1.11,111,111,103,103,114
gemma,1.209399651,1.409725188,1.208421807,1.54831924,1.33,74,74,68,68,74
gems,1.510382431,1.881297493,,,1.689,217,217,,,218
gen,1.0409708,1.539264174,1.007489403,1.517295752,1.14,978,978,849,849,984
gender,1.221587014,2.027196229,1.312402696,2.228648372,1.186,998,998,850,850,1023
gendered,0.708394199,1.427225725,0.703161775,1.457180065,0.625,55,55,41,41,56
gene,1.044167983,2.111251622,1.237415975,2.340175375,0.962,702,702,804,804,720
genealogical,1.069301675,1.665154195,1.082688387,1.937778951,1.141,64,64,56,56,65
genealogy,1.185083188,1.766784055,1.156221384,1.987051506,1.248,65,65,78,78,67
genera,0.708511082,1.529551951,,,0.849,120,120,,,120
general,2.099624005,2.501154528,2.070888009,2.736984938,2.271,22377,22377,18021,18021,22838
generalisation,1.670053534,2.270786441,1.627999252,2.474434091,1.729,126,126,254,254,127
generalisations,1.588860678,2.207335181,,,1.589,144,144,,,146
generalise,1.70070996,2.200064807,1.655531172,2.510874537,1.747,98,98,146,146,101
generalised,1.815590885,2.479909824,1.794007853,2.72380425,1.862,232,232,201,201,235
generalist,1.285725911,2.055314775,1.327246575,2.240406971,1.264,81,81,97,97,82
generalities,,,,,1.734,,,,,50
generality,1.473471955,2.230985345,1.554803582,2.563386082,1.545,221,221,248,248,225
generalization,1.304102854,2.038753735,1.431245241,2.406686924,1.317,148,148,257,257,153
generalizations,1.358000589,1.936150415,,,1.484,145,145,,,149
generalize,1.535905219,2.204772105,1.534951707,2.54236339,1.594,103,103,187,187,105
generalized,1.631870237,2.402838694,1.682373308,2.740573895,1.661,291,291,230,230,293
generally,2.073127915,2.59165854,2.069428477,2.932121311,2.199,8777,8777,7809,7809,8907
generals,1.464430159,2.073006503,,,1.603,595,595,,,605
generate,1.915335333,2.561422401,1.934715625,2.80741732,1.969,1620,1620,3645,3645,1655
generated,1.983615853,2.655969529,1.699959069,2.827940915,2.007,2142,2142,127,127,2189
generates,1.811907855,2.553575176,,,1.866,455,455,,,464
generating,1.71660984,2.488040441,1.463475394,2.43220967,1.714,887,887,456,456,902
generation,1.826934299,2.330620674,1.807055915,2.567910086,1.924,3540,3540,4510,4510,3622
generational,1.256059536,2.009460889,1.238158882,2.159516561,1.27,81,81,76,76,81
generations,1.689642835,2.145294237,,,1.791,1730,1730,,,1766
generative,0.975430369,1.65752243,1.03707798,1.876804692,0.986,80,80,74,74,82
generator,1.498742459,2.319963863,1.498625447,2.396569568,1.559,300,300,459,459,304
generators,1.273051119,2.072407031,,,1.285,208,208,,,211
generic,1.641492144,2.352317366,1.612550195,2.620965368,1.66,415,415,385,385,422
generosity,1.67037628,1.90290012,1.673223857,2.293389605,1.784,536,536,529,529,549
generous,1.854565951,2.092197729,1.797379399,2.395542389,1.999,1978,1978,1906,1906,2020
generously,1.73858769,2.048897368,1.689350815,2.35148919,1.893,398,398,389,389,403
genes,0.881742789,1.863825283,,,0.847,593,593,,,603
genesis,1.274409373,1.945598711,1.349312328,2.326011637,1.393,362,362,336,336,367
genetic,1.229101722,2.154937443,1.353508737,2.402353846,1.171,898,898,786,786,907
genetically,1.19741206,2.048007345,1.246373716,2.287060287,1.188,274,274,252,252,275
geneticist,,,0.871090707,1.8482885,,,,60,60,
genetics,1.095981985,1.982488751,1.143255612,2.141674109,1.045,196,196,185,185,201
geneva,1.634875917,2.281093069,1.606949572,2.394479413,1.66,707,707,661,661,724
genial,1.475119903,1.5448479,1.465342393,1.874242171,1.694,151,151,151,151,157
genie,1.550731135,1.882739798,1.47705066,2.028641456,1.701,45,45,44,44,48
genital,0.930716557,1.892866245,1.112797663,2.216173278,0.929,130,130,194,194,132
genitalia,0.891332353,1.696438628,0.864136595,1.826778337,0.914,59,59,54,54,60
genitals,1.131409886,1.798971128,,,1.156,96,96,,,97
genius,1.462089302,1.681692432,1.496879865,2.096891735,1.662,884,884,855,855,903
genoa,1.23989519,1.871500101,1.214384922,2.093271897,1.28,119,119,113,113,121
genocide,1.362575324,2.058487553,1.441029007,2.197558752,1.458,102,102,103,103,106
genoese,0.785934663,1.398846034,0.778094835,1.544068975,0.869,49,49,42,42,50
genome,0.77223908,1.560106115,0.859621111,1.642049853,0.651,110,110,97,97,111
genomic,0.600033029,1.260377863,0.615487253,1.225563062,0.392,72,72,61,61,75
genotype,,,0.895810816,1.908143856,,,,42,42,
genre,1.070273097,1.635780411,1.07771356,1.876756922,1.241,440,440,472,472,455
genres,0.869254119,1.522278377,,,0.966,118,118,,,119
genscher,0.693841518,1.37848878,0.72312037,1.340284829,0.72,86,86,80,80,86
gent,1.512674585,1.623310521,1.387853922,1.720252483,1.554,84,84,184,184,84
genteel,1.487963175,1.626494916,1.398794956,1.951736744,1.58,155,155,153,153,157
gentile,0.84142108,1.53925266,0.870240634,1.71324456,0.77,65,65,83,83,67
gentiles,0.5595801,1.071094132,,,0.513,43,43,,,45
gentility,1.417787396,1.791516875,1.343108799,2.00458025,1.571,59,59,57,57,59
gentl,,,1.578907973,2.196489945,,,,194,194,
gentle,1.643771446,1.756937895,1.558107087,2.113174264,1.781,2271,2271,2153,2153,2308
gentleman,1.135605866,1.645787626,1.367123505,2.020828834,1.139,1953,1953,2254,2254,1973
gentlemanly,1.549119007,1.643805245,1.502816433,1.93480322,1.736,89,89,90,90,92
gentlemans,0.857948994,1.397417943,,,0.89,450,450,,,455
gentlemen,1.43131106,1.578284781,,,1.516,795,795,,,807
gentlemens,1.581573997,1.891878302,,,1.69,61,61,,,61
gentleness,1.308901525,1.278544625,1.252173057,1.820702977,1.352,178,178,175,175,183
gentler,1.651814086,1.899179868,,,1.816,162,162,,,168
gently,1.542323963,1.556795846,1.463572999,2.02497064,1.597,3014,3014,2705,2705,3072
gentry,1.125969853,1.621247685,1.127758852,1.890057804,1.183,426,426,383,383,429
gents,1.375370716,1.384080509,,,1.487,114,114,,,118
genuine,1.943197778,2.213999036,1.888652471,2.517046411,2.095,2723,2723,2592,2592,2772
genuinely,1.834724377,2.068955217,1.802987793,2.423174947,2.013,1212,1212,1179,1179,1229
genus,0.928883899,1.814402165,0.953054532,2.010779817,1.077,233,233,271,271,234
geo,1.509655355,2.528895084,1.58148822,2.673318643,1.56,53,53,50,50,54
geochemical,0.432235202,1.012158174,0.405398947,0.974923938,0.411,67,67,58,58,68
geoff,1.332310295,1.686086443,1.238805579,1.760045312,1.6,635,635,592,592,646
geoffrey,1.614545639,2.029129605,1.573466422,2.236702259,1.71,862,862,771,771,881
geoffreys,,,,,1.08,,,,,41
geographer,0.828771917,1.571872655,0.979344651,1.841132192,0.796,54,54,121,121,55
geographers,0.884003581,1.662774626,,,0.836,114,114,,,117
geographic,1.624344195,2.341876563,1.589107214,2.462449665,1.676,228,228,211,211,232
geographical,1.675992839,2.375148662,1.662817842,2.57489556,1.707,1198,1198,1126,1126,1217
geographically,1.719212113,2.46571821,1.734436613,2.701974121,1.809,310,310,300,300,313
geography,1.4738785,2.276968488,1.501804013,2.412973705,1.437,804,804,745,745,817
geological,0.972811734,1.885549185,1.037483048,2.049803511,1.046,525,525,451,451,534
geologically,0.666712072,1.345463624,0.769884424,1.580836203,0.815,47,47,43,43,47
geologist,0.990929928,1.721608664,0.988445447,1.912991698,1.099,124,124,229,229,124
geologists,0.826106269,1.626492631,,,0.902,154,154,,,156
geology,0.982611136,1.882037008,1.05751222,2.061074286,1.024,350,350,301,301,359
geometric,1.213315989,2.187635616,1.293035259,2.446295059,1.231,307,307,274,274,311
geometrical,1.237810678,1.981313708,1.258176869,2.349464482,1.337,161,161,152,152,163
geometry,1.224385097,1.941738996,1.26103455,2.194433834,1.281,294,294,290,290,300
geomorphology,0.448555025,0.992102324,0.475655401,1.077984018,0.439,51,51,42,42,52
geophysical,0.698103422,1.49061383,0.750150028,1.626860997,0.745,97,97,88,88,102
geophysics,0.651321229,1.440035657,,,0.646,51,51,,,53
geordie,1.34711503,1.631976694,1.259122761,1.753371534,1.567,92,92,91,91,95
georg,1.140282753,1.95374402,1.103469187,2.113441466,1.2,113,113,107,107,114
george,1.654215209,1.972719759,1.630563143,2.238109903,1.8,5503,5503,4972,4972,5615
georges,1.519279469,1.925013744,1.474343206,2.466179184,1.659,715,715,195,195,726
georgi,1.016893935,1.777373817,,,0.96,45,45,,,45
georgia,1.408790312,2.218424722,1.36756304,2.284480457,1.39,443,443,416,416,455
georgian,1.253801032,1.937200844,1.290277703,2.077256889,1.358,467,467,452,452,475
georgians,1.116424289,1.863391019,,,1.137,47,47,,,47
georgie,1.233168414,1.570289888,1.25941401,1.72155811,1.39,43,43,44,44,44
georgina,1.216057368,1.438728113,1.250608926,1.623311494,1.42,142,142,124,124,145
geothermal,0.798592535,1.665446946,0.846360143,1.728480217,0.818,71,71,65,65,72
ger,1.230746251,1.962710723,1.287804425,2.241176927,1.38,65,65,74,74,65
gerald,1.638085185,1.913802405,1.569932094,2.095462286,1.8,504,504,475,475,515
geraldine,1.40736536,1.616117264,1.382325078,1.894136687,1.56,99,99,94,94,104
geranium,0.804932248,1.50878183,0.948997434,1.625406798,0.882,69,69,145,145,70
geraniums,0.928389573,1.423153028,,,0.988,97,97,,,97
gerard,1.524947641,2.046569983,1.47560526,2.279193603,1.66,285,285,275,275,292
gerhard,0.98842456,1.923071607,1.036682051,2.038762291,1.04,107,107,105,105,109
geriatric,1.172474684,1.932262945,1.215322996,2.024008098,1.168,148,148,161,161,150
germ,1.478651536,2.376671332,1.593202991,2.586382274,1.44,142,142,214,214,143
germain,1.040751245,1.701829486,1.106734512,2.003019341,1.12,67,67,59,59,69
german,1.458584227,2.183306524,1.547987922,2.384600027,1.56,5265,5265,4888,4888,5378
germanic,1.131443683,1.774384111,1.176064672,2.109334748,1.273,124,124,115,115,128
germans,1.083955237,1.757539138,,,1.19,1348,1348,,,1372
germany,1.533345057,2.22779188,1.611183873,2.417866229,1.605,5004,5004,4462,4462,5119
germanys,1.003926669,1.803964912,,,1.11,627,627,,,647
germinate,0.802809554,1.66665048,0.878117581,1.738360815,0.834,58,58,93,93,60
germination,0.763009348,1.549400169,0.796412523,1.711067567,0.847,58,58,54,54,59
germs,1.337584385,1.99410042,,,1.334,89,89,,,92
gerrard,1.447380973,1.880567527,1.39912187,2.04448123,1.54,58,58,55,55,63
gerry,1.246416372,1.715353398,1.168317862,1.791699504,1.45,488,488,457,457,500
gerstner,0.455467537,0.719363683,,,0.53,46,46,,,54
gertrude,1.212795788,1.644407021,1.185427825,1.890801354,1.4,102,102,98,98,104
ges,1.146508847,1.722146051,,,1.22,45,45,,,45
gesner,,,,,0.27,,,,,40
gestapo,1.084772103,1.467690249,1.0030584,1.657636436,1.087,80,80,76,76,82
gestation,1.236614739,2.263334907,1.283188279,2.514146996,1.148,134,134,123,123,135
gesticulate,,,1.337584972,1.702224271,,,,72,72,
gesture,1.650313932,1.692460562,1.541606235,2.121995648,1.74,1643,1643,2339,2339,1665
gestured,1.255291199,1.233530484,,,1.241,358,358,,,360
gestures,1.584351736,1.93755644,,,1.623,506,506,,,518
gesturing,1.408049411,1.399145074,,,1.558,103,103,,,106
get,1.824299715,1.864937612,1.806755782,2.349254528,2.052,31276,31276,27326,27326,31949
getaway,1.190234737,1.555177026,1.135842258,1.715827978,1.346,101,101,105,105,101
gets,1.719578308,1.933585773,,,1.896,4697,4697,,,4792
gettin,0.792517305,1.175580944,,,0.71,78,78,,,79
getting,1.768331462,1.862142134,1.708511694,2.361393114,1.971,11178,11178,44,44,11382
getty,0.563662684,1.059599448,0.541418623,1.050563532,0.7,88,88,88,88,89
gh,1.240110201,1.901239871,1.246548506,2.114918284,1.29,73,73,60,60,75
ghali,0.795809164,1.440083707,0.906769084,1.544967397,0.79,77,77,76,76,77
ghana,1.223620049,2.168527718,1.233492128,2.227913461,1.163,195,195,183,183,204
ghastly,1.545534169,1.448758729,1.450021954,1.790061794,1.64,358,358,354,354,362
ghent,1.339740664,2.136646974,1.301075084,2.352925587,1.41,66,66,63,63,68
ghetto,1.368285689,1.863285059,1.297464362,1.967340812,1.508,189,189,220,220,192
ghettos,1.171081497,1.74930656,,,1.256,52,52,,,52
ghost,1.512780285,1.614400464,1.39609454,1.849305896,1.652,907,907,1168,1168,927
ghostly,1.381550746,1.530595576,1.327275347,1.86275997,1.509,232,232,220,220,237
ghosts,1.393231808,1.469552406,,,1.497,443,443,,,451
ghoul,,,1.262389218,1.578253572,,,,45,45,
ghs,0.90116611,1.866434009,,,0.79,44,44,,,45
gi,,,1.083827219,2.166308231,,,,116,116,
gianni,1.314825604,2.037737898,1.329395488,2.057612607,1.23,67,67,63,63,68
giant,1.675659072,2.023570698,1.614773286,2.201287164,1.859,2115,2115,2407,2407,2154
giants,1.56921209,1.918490182,,,1.77,585,585,,,594
gibb,1.024143571,1.5227289,0.92200701,1.552649684,1.14,58,58,61,61,59
gibber,,,0.965216023,1.297751494,,,,48,48,
gibbet,1.119930543,1.518207028,1.084855603,1.86859147,1.104,54,54,58,58,54
gibbon,1.673739562,2.123245465,1.458150197,2.266089324,1.781,69,69,95,95,69
gibbons,1.570051096,2.246273062,1.507397857,2.444911958,1.687,115,115,74,74,116
gibbs,1.455939846,2.017519024,1.42661181,2.189755385,1.56,191,191,175,175,197
gibraltar,1.390289617,1.952911944,1.399805393,2.20346664,1.473,224,224,211,211,226
gibson,1.290245331,1.981860328,1.266979616,2.152243268,1.367,522,522,497,497,529
gibsons,0.919560874,1.645413732,,,0.98,63,63,,,63
giddy,1.408147819,1.338525286,1.28749042,1.668016146,1.534,89,89,88,88,91
gideon,1.564497899,1.919434696,1.536331919,2.071787756,1.58,43,43,43,43,43
gifford,1.33400205,1.739247507,1.305617334,2.01585348,1.39,88,88,82,82,89
gift,1.711844272,2.003981572,1.652465983,2.315573879,1.798,2012,2012,2706,2706,2054
gifted,1.517480926,1.820001146,1.494979419,2.167649968,1.724,433,433,401,401,444
gifts,1.619027875,2.013913756,,,1.697,1218,1218,,,1251
gig,0.633147662,1.10332458,0.656981307,1.240336684,0.771,387,387,448,448,392
gigantic,1.545957419,1.89556719,1.514631199,2.177958172,1.691,360,360,355,355,366
giggle,1.432986631,1.258312186,1.307401468,1.60677889,1.477,216,216,752,752,218
giggled,1.313379725,0.973874253,,,1.315,315,315,,,326
giggles,1.350164901,1.252772748,,,1.45,126,126,,,130
giggling,1.378282289,1.199339115,,,1.474,210,210,,,214
giggs,0.451292045,0.703186821,0.403025229,0.636372257,0.55,87,87,71,71,88
gigs,0.542806598,0.996897579,,,0.676,221,221,,,224
gil,1.376357792,2.066749121,1.287517806,2.284751724,1.45,61,61,59,59,63
gilbert,1.532003979,2.145147681,1.548657496,2.329351514,1.758,567,567,523,523,582
gilberts,1.113847266,1.817250964,,,1.42,49,49,,,51
gilbey,0.487678934,0.998751688,0.479066942,1.048821396,0.57,65,65,62,62,66
gilchrist,1.461699558,1.9057085,,,1.634,40,40,,,41
gild,,,1.433302618,2.008753406,,,,77,77,
gilded,1.344489947,1.654392494,1.384242992,2.006019826,1.478,256,256,218,218,261
gilding,1.291865673,1.90895782,,,1.403,45,45,,,47
giles,1.528699728,1.818553954,1.477674775,2.2188223,1.68,437,437,400,400,445
gill,1.562135783,2.197552302,1.541908187,2.429457004,1.653,430,430,483,483,439
gilles,1.268759687,1.988551878,1.292857368,2.176144656,1.3,65,65,57,57,66
gillespie,1.377659577,1.907414071,1.295978121,1.985110508,1.53,123,123,123,123,127
gillian,1.533756598,1.849072366,1.493201509,2.016347522,1.71,276,276,260,260,283
gillingham,1.169382578,1.874710875,1.107346834,2.042440634,1.36,66,66,65,65,67
gills,1.103588046,1.856099044,,,1.206,130,130,,,134
gilmore,,,,,1.56,,,,,44
gilmour,1.29058715,1.869864668,1.201333873,1.904107216,1.37,68,68,67,67,69
gilroy,1.185301206,2.114665463,,,1.19,41,41,,,41
gilt,1.396370451,1.962850253,1.381320014,2.155875283,1.444,367,367,419,419,378
gilts,0.818681029,1.400529592,,,0.804,112,112,,,113
gim,,,1.200553315,1.791436535,,,,40,40,
gime,1.092866953,1.694326432,1.138117971,1.926043144,1.23,81,81,76,76,83
gimmick,1.423206293,1.70451028,1.464616465,2.07417464,1.648,92,92,147,147,93
gimmicks,1.671425742,1.95438348,,,1.856,60,60,,,61
gin,1.436408058,1.505794487,1.395493563,1.816914577,1.469,369,369,367,367,374
gina,0.914160559,0.964944602,0.956608281,1.374136411,1.05,153,153,101,101,155
ginger,1.411372041,1.757776483,1.376075632,2.037176512,1.498,372,372,363,363,377
gingerbread,1.303990245,1.875467078,1.25672871,1.941028087,1.353,66,66,66,66,68
gingerly,1.310317415,1.352890441,1.211566994,1.575221008,1.439,199,199,197,197,200
ginny,1.038356716,1.285085654,0.995358367,1.606579969,1.14,53,53,42,42,53
ginsberg,,,0.974437498,1.763015617,,,,42,42,
giorgio,1.260161504,1.950517216,1.226501697,2.109534642,1.26,93,93,88,88,94
giovanni,1.000833026,1.771005314,1.023643884,1.990430607,1.04,197,197,187,187,202
gipsies,0.885833395,1.603467774,,,0.913,59,59,,,60
gipsy,1.203942941,1.785726008,1.377901338,2.304814098,1.297,108,108,120,120,110
giraffe,1.313252759,1.829166736,1.314844017,1.99843831,1.442,55,55,80,80,57
girder,,,1.314933019,1.961216688,,,,81,81,
girders,1.315717868,1.668460838,,,1.376,57,57,,,57
girdle,1.354130112,1.75443194,1.497052213,2.184319389,1.459,86,86,115,115,87
girl,1.499951578,1.290647933,1.494432538,1.886519633,1.584,7357,7357,8313,8313,7491
girlfriend,1.344943265,1.390350513,1.323907685,1.728888403,1.488,802,802,914,914,819
girlfriends,1.342952007,1.390625999,,,1.456,221,221,,,224
girlie,1.340917438,1.428068315,1.22995034,1.624386756,1.462,48,48,49,49,48
girlish,1.374888251,1.020440013,1.404450851,1.813541795,1.462,78,78,76,76,80
girls,1.484018305,1.572837797,,,1.474,4859,4859,,,4953
giro,1.350548657,1.99968434,1.264033484,2.054246904,1.329,56,56,57,57,56
girth,1.467045785,2.027638278,1.331473004,2.291544413,1.575,66,66,79,79,68
gis,0.852230961,1.863226636,,,0.9,101,101,,,103
giscard,1.056278467,1.843940081,1.094137201,1.867816071,0.91,56,56,56,56,58
gist,1.583265086,1.947723355,1.599630771,2.265044886,1.697,108,108,106,106,109
git,1.134777119,1.400121428,1.086170487,1.689837538,1.157,109,109,128,128,111
gittens,0.280330956,0.520494844,,,0.39,44,44,,,44
giulio,1.139119742,1.892214783,1.102600108,1.928909252,1.1,78,78,73,73,79
giuseppe,1.037070871,1.817423894,1.031549449,1.936223105,1.09,64,64,60,60,68
give,2.03979783,2.29044956,2.035737533,2.667622146,2.247,24990,24990,37218,37218,25540
giveaway,1.546899966,1.83346417,1.471284098,2.025909546,1.763,66,66,77,77,67
given,2.150699762,2.47804284,1.890081995,2.817502093,2.333,26678,26678,2298,2298,27260
giver,1.461880931,1.918904429,1.359804292,2.113795778,1.583,75,75,112,112,78
givers,1.267198529,1.945168605,,,1.311,45,45,,,45
gives,1.997504464,2.431922544,,,2.166,7772,7772,,,7919
giving,2.095382386,2.331907599,1.70162906,2.554486863,2.269,9697,9697,354,354,9891
gl,0.937587304,1.667619144,0.828446509,1.684632809,0.96,113,113,108,108,120
glacial,0.89711,1.757142814,0.967722476,1.940680045,1.008,184,184,165,165,187
glaciation,,,0.544205062,1.191603258,,,,42,42,
glacier,0.849839253,1.525483647,0.91656423,1.740979494,0.895,144,144,203,203,148
glaciers,0.883649119,1.654409065,,,0.976,107,107,,,109
glad,1.559333263,1.407491413,1.485557136,1.909345683,1.698,2801,2801,2602,2602,2855
glade,0.99700056,1.260812856,1.077450743,1.802344017,0.988,59,59,86,86,59
gladiator,,,1.476400207,2.061519177,,,,68,68,
gladiators,1.389454869,1.737163686,,,1.534,49,49,,,49
gladly,1.669323477,1.732538332,1.577638536,2.090341682,1.803,260,260,250,250,272
gladstone,1.433170472,1.859150532,1.370147595,2.084335112,1.6,186,186,210,210,188
gladys,1.365670323,1.550385484,1.301663477,1.811335985,1.44,86,86,76,76,89
glam,0.732106159,1.191762962,0.706135385,1.266737553,0.871,56,56,56,56,56
glamorgan,1.215175572,1.919855606,1.212258701,1.999741573,1.29,275,275,259,259,278
glamorous,1.552258501,1.696888524,1.493646498,2.032390274,1.656,494,494,487,487,506
glamour,1.469372315,1.747374864,1.440069032,1.993325905,1.623,427,427,413,413,436
glance,1.50448927,1.457506268,1.327336381,1.745242454,1.525,2110,2110,3853,3853,2133
glanced,1.240186962,0.960917706,,,1.269,2204,2204,,,2222
