"","id","title","n_words","n_tokens","n_w","n_c","n_s","publication_date","text_type","context","respondent_age","respondent_class","respondent_sex","interaction_type","region","author_age","author_domicile","author_sex","author_type","audience_age","domain","difficulty","medium","publication_place","sampling_type","circulation","audience_sex","availability","mode","derived_type","genre"
"528","ALT","Charlemagne: founder of the Holy Roman Empire. Sample containing about 14246 words from a book (domain: world affairs)",14183,15982,14305,1677,643,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","UK","male","sole","teen","world_affairs","medium","book","UK_south","whole","low","mixed","cleared","written","prose","W:non_ac:humanities_arts"
"529","ALU","The Chelsea gardener. Sample containing about 36107 words from a book (domain: world affairs)",36148,41170,36367,4803,1294,"1985-1993","written_books_periodicals","---","---","---","---","---","---","60+","UK","female","sole","adult","world_affairs","medium","book","UK_south","middle","medium","mixed","cleared","written","misc_published","W:misc"
"530","ALV","Chemistry in Britain. Sample containing about 45370 words from a periodical (domain: natural sciences)",44795,50970,45301,5669,2361,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","natural_science","high","periodical","UK_south","unknown","medium","mixed","cleared","written","prose","W:non_ac:nat_science"
"531","ALW","Chemistry in Britain. Sample containing about 58084 words from a periodical (domain: natural sciences)",57395,65532,58022,7510,3040,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","natural_science","high","periodical","UK_south","unknown","medium","mixed","cleared","written","prose","W:non_ac:nat_science"
"532","ALX","Chief Joseph: guardian of the Nez Perce. Sample containing about 18668 words from a book (domain: world affairs)",18862,21806,18952,2854,1022,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","UK","male","sole","teen","world_affairs","low","book","UK_south","whole","low","mixed","cleared","written","prose","W:biography"
"533","ALY","Glimpses of Chiswick's place in history. Sample containing about 35451 words from a book (domain: world affairs)",35187,40321,35381,4940,1117,"1985-1993","written_books_periodicals","---","---","---","---","---","---","60+","UK","male","sole","adult","world_affairs","medium","book","UK_south","beginning","low","mixed","cleared","written","prose","W:non_ac:humanities_arts"
"534","AM0","Club 18-30 summer holiday brochure 1990. Sample containing about 33469 words of miscellanea (domain: leisure)",33648,37741,33890,3851,1903,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","leisure","low","misc_published","unknown","unknown","high","mixed","cleared","written","misc_published","W:advert"
"535","AM1","Cosmeston Medieval Village. Sample containing about 2852 words of miscellanea (domain: world affairs)",2797,3123,2837,286,174,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","world_affairs","medium","misc_published","UK_midlands","whole","medium","mixed","cleared","written","prose","W:non_ac:humanities_arts"
"536","AM2","Cotswold Wildlife Park. Sample containing about 9282 words of miscellanea (domain: leisure)",9207,10384,9297,1087,607,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","leisure","medium","misc_published","UK_south","whole","low","mixed","cleared","written","misc_published","W:misc"
"537","AM4","The dirty man of Europe. Sample containing about 39696 words from a book (domain: world affairs)",39537,45765,40056,5709,1809,"1985-1993","written_books_periodicals","---","---","---","---","---","---","25-34","UK","male","sole","adult","world_affairs","medium","book","UK_south","middle","medium","mixed","cleared","written","misc_published","W:misc"
