Word,SemD,cosMean,WordCount,nContexts
classless,1.262373959,0.054654515,127,112
classmates,1.266334563,0.054158352,109,104
classroom,1.11693962,0.076394199,2000,1148
classrooms,1.049870322,0.08915171,462,345
classy,1.384793177,0.041229382,153,143
clatter,1.35089498,0.044576403,215,207
clattered,1.201760427,0.062840492,154,152
clattering,1.299243548,0.050206096,150,145
claude,1.199827228,0.06312084,627,300
claudia,0.51380693,0.306332497,924,175
claudias,0.271583159,0.535077687,78,45
claudio,1.262790676,0.054602097,87,74
claus,1.427551712,0.037363563,130,108
clause,1.266997479,0.054075746,3577,1273
clauses,1.210595629,0.061574993,1278,659
claustrophobia,1.450061759,0.035476294,61,53
claustrophobic,1.468004861,0.034040438,115,115
claw,1.475694161,0.033443047,289,236
clawed,1.287938118,0.051530206,164,156
clawing,1.332000145,0.046558594,79,74
claws,1.221438777,0.060056667,387,317
clay,1.430714782,0.037092424,1542,935
clays,0.964557306,0.108503237,153,103
clayton,1.603637096,0.024909379,244,158
cle,1.448284665,0.035621757,157,91
clean,1.771861389,0.016909805,5859,4569
cleaned,1.657963636,0.021980439,904,814
cleaner,1.604910253,0.024836463,874,654
cleaners,1.546230247,0.028429535,410,304
cleanest,1.68064987,0.020861721,51,51
cleaning,1.629338737,0.023478009,2130,1484
cleanliness,1.568758588,0.026992394,272,231
cleanly,1.576031428,0.026544135,127,125
cleans,1.657712401,0.021993158,84,76
cleanse,1.221534763,0.060043395,90,85
cleansed,1.419928004,0.038025243,93,91
cleansing,1.377497753,0.041927817,322,245
clear,2.088374638,0.008158783,23276,18262
clearance,1.605484502,0.024803645,825,574
clearances,1.504035383,0.031330305,92,81
cleared,1.761582478,0.017314802,2316,2031
clearer,1.958316131,0.011007378,814,780
clearest,1.915082913,0.012159538,247,243
clearing,1.773428096,0.016848914,1538,1185
clearly,2.061302553,0.008683553,13605,11438
clears,1.721139875,0.019004661,166,161
cleary,1.171067125,0.067442378,52,40
cleavage,1.329809886,0.046793994,343,140
cleaved,1.215869635,0.060831758,62,46
cleaver,1.641418238,0.022833988,61,44
cleese,1.054540481,0.088198159,90,44
cleft,1.372639926,0.042399435,164,126
clegg,1.261252549,0.054795823,125,81
clem,1.384368059,0.04126976,72,40
clematis,0.526223279,0.297698551,80,53
clemency,1.566682666,0.027121727,55,49
clement,1.446411996,0.035775689,342,249
clements,1.619108,0.02403765,150,105
clench,1.037745532,0.091675749,72,66
clenched,1.212327518,0.061329932,568,539
clenching,1.295652963,0.050622902,78,77
cleo,0.877050834,0.13272391,351,52
cleopatra,1.276503861,0.052904929,100,88
clerestory,0.244717437,0.569223162,63,49
clergy,0.902565393,0.125151082,1289,687
clergyman,1.219041853,0.060389043,231,199
clergymen,1.224578843,0.059624007,143,125
cleric,1.43010715,0.037144357,122,100
clerical,1.403761397,0.039467408,863,605
clerics,1.125082663,0.074975149,133,117
clerk,1.530782317,0.029458978,1657,1156
clerkenwell,1.178198088,0.06634404,65,53
clerks,1.514809242,0.030562632,628,460
clermont,0.775420355,0.167717988,72,47
cleveland,0.756713656,0.17510008,1592,767
clevelands,0.519961322,0.302022069,54,45
clever,1.687504097,0.020535057,1857,1657
cleverer,1.517997226,0.030339106,69,65
cleverly,1.691145311,0.020363606,252,246
cleverness,1.650718601,0.022350199,89,82
clich,1.317430536,0.048147026,296,263
cliche,1.633523636,0.023252859,80,79
cliches,1.427622557,0.037357469,76,69
click,1.403215885,0.039517013,580,411
clicked,1.358501634,0.043802446,249,240
clicking,1.429797377,0.037170861,236,194
clicks,1.304977816,0.04954755,123,93
client,1.260582609,0.054880416,5202,2233
clientele,1.53613891,0.029097863,201,192
clients,1.414918394,0.038466406,5033,2575
cliff,1.370890794,0.042570545,1477,982
clifford,1.557895032,0.027676105,398,284
cliffs,0.972916334,0.106434804,875,608
clifton,1.49275628,0.032154645,206,166
cliftonville,0.427086698,0.374035912,77,44
climactic,1.218140994,0.060514438,56,54
climate,1.807509616,0.015577235,2649,2029
climates,1.255131781,0.05557356,239,190
climatic,1.09555528,0.080249941,430,295
climax,1.627888519,0.023556539,691,616
climb,1.346509347,0.045028829,2015,1543
climbed,1.364568604,0.043194793,2123,1781
climber,0.830285824,0.147813526,270,187
climbers,0.737513015,0.183015126,549,293
climbing,1.269728346,0.053736782,2001,1321
climbs,0.73277781,0.185021497,402,294
climes,1.701850569,0.019867784,62,61
clinch,1.079262343,0.083317774,224,215
clinched,1.045282592,0.090098468,213,207
clinching,1.137909928,0.072793076,101,98
cling,1.658331639,0.021961822,375,348
clinging,1.462993069,0.034435543,628,600
clings,1.600450969,0.025092795,75,73
clinic,1.520290001,0.030179358,1286,828
clinical,1.347351069,0.044941642,2935,1465
clinically,1.27178061,0.053483447,322,262
clinician,1.029050998,0.093529584,64,54
clinicians,0.972335329,0.106577289,203,136
clinics,1.347636903,0.044912073,715,428
clink,1.251304542,0.056065469,58,49
clint,0.893339704,0.127838097,192,93
clinton,1.022393538,0.094974379,1642,574
clintons,0.788369931,0.162790879,326,195
clip,1.524439699,0.029892367,461,378
clipboard,1.225678801,0.059473185,106,71
clipped,1.600888553,0.025067524,412,392
clipper,1.215036139,0.060948618,79,52
clipping,1.455173125,0.035061208,125,94
clippings,1.489330277,0.032409305,70,57
clips,1.402770353,0.039557574,248,214
clique,1.410783368,0.038834403,73,65
clitoris,0.720981331,0.190116,73,40
clive,1.530883069,0.029452145,900,623
cllr,0.701798153,0.198701821,137,92
cloak,1.332216748,0.046535379,664,542
cloaked,1.254421823,0.055664483,88,86
cloakroom,1.251962975,0.055980532,136,112
cloaks,1.248918011,0.056374407,124,113
clock,1.665946425,0.021580106,2619,1775
clocked,1.145613889,0.071513183,197,173
clocking,1.158373567,0.069442674,72,67
clocks,1.611193832,0.024479704,450,309
clockwise,1.461637213,0.034543218,266,179
clockwork,1.579735541,0.026318702,113,106
