Word,SemD_Rep_Log10,cosMean_Rep,SemD_Rep_Log2,WordCount_Rep,nContexts_Rep
abode,0.7154805866530356,0.19253931099268437,2.376775062149211,161,141
abolish,0.7530655021669872,0.1765771479330543,2.5016294489389748,1770,1370
abolition,0.6896252248188172,0.20435006264378308,2.2908854092686424,1096,810
abolitionist,0.4488250141657514,0.35577463833053036,1.4909644242454279,232,55
abominable,0.5861676075121202,0.2593178382194547,1.9472066437074205,81,73
abomination,0.6141123424876381,0.2431574932438798,2.040037043926775,60,55
aboriginal,0.6990542863970995,0.1999611904424513,2.3222080738339614,216,114
aborigine,0.7191063365492629,0.19093856902393072,2.3888195425945233,87,57
abort,0.8023555053908873,0.15763203948513485,2.665367295445537,211,169
abortion,0.6446267615719807,0.2266591409458724,2.14140374998222,1466,493
abortive,0.7445026814579728,0.18009320149397876,2.4731843742542168,240,231
abound,0.7481950765291817,0.17856853000093048,2.485450245178689,457,440
abraham,0.6373649672655649,0.23048094860774157,2.1172805914564443,478,234
abrams,0.6488835660731601,0.22444835869861426,2.155544548449131,64,44
abrasion,0.6891698610956046,0.20456443885690434,2.28937272372311,102,82
abrasive,0.6857058265498044,0.20620261731455872,2.277865450043756,248,199
abreast,0.7286737683023427,0.18677821976194403,2.4206018629309964,176,169
abroad,0.7358328837216797,0.18372451782812046,2.4443839295770333,3562,2699
abrogate,0.8059502903277853,0.1563326571932829,2.6773089125224967,84,78
abrupt,0.7153262477841383,0.192607747460579,2.376262359524488,453,429
abruptly,0.5560010678643112,0.2779706432874048,1.8469955681258303,1120,1009
abscess,0.7040767945455417,0.19766200914316992,2.3388924847590724,89,62
abscond,0.6832786438251937,0.20735826776018776,2.269802523559446,92,64
abseil,0.37873355409015713,0.418086790236736,1.2581256338086355,177,97
absence,0.8719332285755788,0.1342971422940977,2.8964994888710596,5572,4292
absent,0.8264546190856493,0.14912325712984636,2.7454228182900517,1594,1371
absentee,0.6853249936616256,0.2063835157200703,2.2766003505730574,208,156
absenteeism,0.6983224309004983,0.20029844103421404,2.319776902498404,161,96
absently,0.43498653486631544,0.36729368812134444,1.4449939910701146,195,185
absolute,0.8253158306437296,0.1495147948781423,2.7416398449707056,3076,2494
absolutely,0.6955634266806512,0.20157495583579457,2.310611688866581,3676,3150
absolution,0.6656192247974048,0.2159637078497813,2.211139203351646,62,57
absolutism,0.5152071228210292,0.3053464513958818,1.7114810159852611,59,50
absolutist,0.540811841566049,0.28786453200074047,1.796538050546031,58,44
absolve,0.7409724584846165,0.18156308004047533,2.461457227377807,145,129
absorb,0.7996676785404657,0.15861064143762182,2.656438527916929,2454,2058
absorbed,0.6696316143705393,0.21397763622404214,2.224468073002275,131,126
absorbent,0.6564379968050947,0.22057790277632525,2.180639824138425,77,68
absorber,0.6654950088004623,0.2160254861710286,2.210726566741568,53,46
absorbing,0.7126561237862358,0.19379558382591108,2.3673923995990225,206,192
absorption,0.8640601093816274,0.13675395354985084,2.8703455530262754,969,486
abstain,0.7485940892666467,0.17840454358248914,2.4867757368014916,270,224
abstention,0.5446626113997302,0.28532339870987566,1.8093300310434814,307,224
abstinence,0.6752659685936816,0.21121951030258823,2.243184992592678,147,108
abstract,0.8295469086366347,0.14806523197038457,2.755695181826997,2332,1651
abstracted,0.7237648005708217,0.18890140992586382,2.4042946251067616,72,62
abstraction,0.6831030748876621,0.20744211186134565,2.2692192961732705,568,397
absurd,0.664901081281763,0.2163211179560117,2.208753582230874,878,798
absurdity,0.6565250978890533,0.2205336686247439,2.180929167676322,293,262
absurdly,0.6332000859915251,0.2327018918091848,2.1034451553403413,170,167
abta,0.4480584404091681,0.3564031711576567,1.4884179213466306,63,40
abu,0.5911231283878741,0.2563757073497707,1.9636685277293882,461,229
abundance,0.783474132128879,0.16463640257462822,2.6026447311364165,647,516
abundant,0.8168836964289852,0.15244609480554133,2.713628901422885,575,509
abundantly,0.7800275962295625,0.1659481456210015,2.5911955867024394,165,153
abuse,0.7174439052676546,0.19167086143803339,2.383297065414329,4444,2407
abused,0.5907336718753147,0.2566057171144765,1.9623747811985806,85,78
abuser,0.6061917399406461,0.2476328523330502,2.013725371797486,119,90
abusive,0.6750378767895506,0.21133047209190461,2.242427288020322,256,165
abut,0.7758807970646466,0.16754026689060827,2.5774202180526498,73,68
abysmal,0.6628046359940336,0.21736787715106937,2.2017893417301715,74,71
abyss,0.6084642476897303,0.24634046240982724,2.021274479135018,140,126
abyssinia,0.454011962437165,0.35155075709473915,1.5081950934349644,127,51
ac,0.8160379051388631,0.152743273838442,2.7108192435738174,909,495
academia,0.6182874028244862,0.24083111544531588,2.0539062941576005,94,81
academic,0.723232076078712,0.1891332667813948,2.4025249526495878,5399,2796
academically,0.635818603926858,0.2313030694857388,2.1121436836366896,162,148
academy,0.6700413910743722,0.21377583375903,2.2258293217473675,1395,912
acc,0.7984587316119761,0.15905278149172558,2.6524224931499516,80,45
accademia,0.37576943850845085,0.4209500461723926,1.248279054981272,57,40
accede,0.720633020178071,0.19026853742839098,2.3938910758330656,217,201
accelerate,0.8184313895285792,0.15190379028851855,2.7187702266126896,1007,880
accelerated,0.7926961378655795,0.16117729473930842,2.6332795710843744,230,194
accelerating,0.7959099152535493,0.15998898558222763,2.6439555084801847,158,139
acceleration,0.8094467428166222,0.1550790947382267,2.6889238762776024,558,338
accelerator,0.6475841583251911,0.22512091313300547,2.1512280093444383,343,226
accent,0.5931351861329363,0.2551906827648929,1.970352438881246,1525,1199
accentuate,0.8201546551410311,0.15130223552098118,2.724494791065647,362,336
accept,0.8058216739258485,0.15637896199876203,2.676881658083439,17696,11754
acceptability,0.7690881418749906,0.17018130832859776,2.554855505939249,263,220
